event,horizon,dispersion_regime,year,event_count,mean_forward_return,median_forward_return,standard_error,t_statistic,directional_probability,p25,p50,p75
asia_sweep_high,4,not_applicable,2013,14374,0.09198747400653583,0.01845954103234615,0.0185900391298397,4.94821303839445,0.48831223041602895,-0.8126360712831202,0.01845954103234615,0.8687675824272025
asia_sweep_high,4,not_applicable,2014,13848,0.05171878023504593,0.03059715735861475,0.015431836364595814,3.351433945586717,0.48331889081455803,-0.7521252352077543,0.03059715735861475,0.8263896441483356
asia_sweep_high,4,not_applicable,2015,13380,0.019309603358046136,-0.0078471968488009,0.014862065803647082,1.2992543306669824,0.500373692077728,-0.8029461938705638,-0.0078471968488009,0.8251244899807896
asia_sweep_high,4,not_applicable,2016,14032,0.05441147182913485,0.03354541176276115,0.013324830508709492,4.083464460847734,0.4851054732041049,-0.7619878523730044,0.03354541176276115,0.8408586864131279
asia_sweep_high,4,not_applicable,2017,13688,0.023166082181705162,0.030594556956883352,0.013791635965035466,1.6797196678070518,0.4854617182933957,-0.7865859505348559,0.030594556956883352,0.8397281004539758
divergence_EURUSD_GBPUSD_laggard,16,not_applicable,2013,8666,0.015079753549484789,0.0,0.008743587836330802,1.7246642718937817,0.34168012924071084,-0.19230579743794038,0.0,0.20843974595424966
divergence_EURUSD_GBPUSD_laggard,16,not_applicable,2014,6923,-0.0034470571976777473,0.0,0.009210599734762208,-0.37424894110510826,0.4304492272136357,-0.28199047765732443,0.0,0.26383222045872234
divergence_EURUSD_GBPUSD_laggard,16,not_applicable,2015,6010,-0.007507933397342086,0.0,0.008822705847651163,-0.8509785463765513,0.48569051580698835,-0.3403118155471232,0.0,0.32777042775967435
divergence_EURUSD_GBPUSD_laggard,16,not_applicable,2016,6030,-0.009349443239588385,0.0,0.008660936067895277,-1.0794956995751643,0.4888888888888889,-0.3468865323573662,0.0,0.3418202482083329
divergence_EURUSD_GBPUSD_laggard,16,not_applicable,2017,6012,0.018530600816670465,0.0119526497713098,0.008621622677757528,2.149317072814679,0.4958416500332668,-0.32218076342768515,0.0119526497713098,0.3500667645733998
m15_shock_down_1_5_2_0,16,not_applicable,2013,4430,0.22059253756221855,0.21571443635016174,0.06801991798387316,3.243057976260995,0.5347629796839729,-1.6383577996114433,0.21571443635016174,1.9575548751887724
m15_shock_down_1_5_2_0,16,not_applicable,2014,3915,-0.06419426876737439,0.0717989041134521,0.06582303581555185,-0.975255364204994,0.5090676883780332,-1.8325084811725079,0.0717989041134521,1.8821250460505052
m15_shock_down_1_5_2_0,16,not_applicable,2015,3676,-0.14343326045369356,-0.02675318088387865,0.10045329683261918,-1.4278601596589704,0.4956474428726877,-2.1056547952723115,-0.02675318088387865,1.8676731874229175
m15_shock_down_1_5_2_0,16,not_applicable,2016,3826,0.1105847308206262,0.13924673259181505,0.05815396086254994,1.9015855357126792,0.5230005227391532,-1.6446053931845315,0.13924673259181505,1.9330874071752253
m15_shock_down_1_5_2_0,16,not_applicable,2017,3820,0.08360575596514269,0.1445159336307983,0.05432811271457022,1.5389041103708452,0.5201570680628272,-1.7036456533475635,0.1445159336307983,1.8498303725143534
divergence_AUDUSD_NZDUSD_laggard,8,not_applicable,2013,8675,0.009792240999853012,0.0,0.008580393945574707,1.141234430722532,0.34340057636887605,-0.21901404398798668,0.0,0.2520040835735301
divergence_AUDUSD_NZDUSD_laggard,8,not_applicable,2014,7000,-1.7933891168852816e-05,0.0,0.008800797316342389,-0.0020377575490292217,0.43014285714285716,-0.31607603908448506,0.0,0.320505687218192
divergence_AUDUSD_NZDUSD_laggard,8,not_applicable,2015,6112,-0.0033557014262235755,0.0,0.00835631419114993,-0.40157674178617625,0.4895287958115183,-0.36395443370587544,0.0,0.3499004795521337
