hypothesis,unit,branch,trade_count,expectancy_r,profit_factor,win_rate,average_win_r,average_loss_r,max_drawdown_r,total_r,annual_trade_frequency,monthly_trade_frequency
H1_MSS_REVERSAL,AUDJPY,mss_down,4952,-0.0781173968020593,0.8537708459127304,0.5113085621970921,0.8920147792945293,-1.0931482521229532,396.1791851979999,-386.83734896379764,1650.6666666666667,137.55555555555554
H1_MSS_REVERSAL,AUDJPY,mss_up,4964,-0.06920485229106453,0.8687560843097047,0.5139000805801772,0.8914080264452894,-1.0847553925548188,345.33288677284446,-343.53288677284434,1654.6666666666667,137.88888888888889
H1_MSS_REVERSAL,AUDUSD,mss_down,5176,-0.06369112124618162,0.8789598075201642,0.517967542503864,0.8929265964098017,-1.09162382707211,351.00792459966567,-329.66524357023604,1725.3333333333333,143.77777777777777
H1_MSS_REVERSAL,AUDUSD,mss_up,5043,-0.08555365278528015,0.8403196956531871,0.5058496926432678,0.8900415010042068,-1.0842467656733143,440.7704680614365,-431.44707099616784,1681.0,140.08333333333334
H1_MSS_REVERSAL,CADJPY,mss_down,4967,-0.0980722320706895,0.8197785563568968,0.5013086370042279,0.8898790086151738,-1.0912085216580127,491.02477669511467,-487.12477669511475,1655.6666666666667,137.97222222222223
H1_MSS_REVERSAL,CADJPY,mss_up,5009,-0.06305974956977206,0.8796423142119781,0.5174685565981234,0.8906366448190141,-1.085807393035115,317.603870013707,-315.86628559498826,1669.6666666666667,139.13888888888889
H1_MSS_REVERSAL,CHFJPY,mss_down,4916,-0.06399661348498414,0.8781848798900028,0.5168836452400325,0.8925837166672818,-1.087436874081577,321.5073518921819,-314.60735189218207,1638.6666666666667,136.55555555555554
H1_MSS_REVERSAL,CHFJPY,mss_up,4865,-0.04299451310946452,0.9162021845582293,0.5280575539568345,0.890205762958483,-1.087154578100125,249.16726254235766,-209.1683062775449,1621.6666666666667,135.13888888888889
H1_MSS_REVERSAL,EURAUD,mss_down,4967,-0.07906635910678207,0.8517555616350186,0.5105697604187639,0.8897607019544275,-1.0897390974248518,395.92260568338924,-392.7226056833865,1655.6666666666667,137.97222222222223
H1_MSS_REVERSAL,EURAUD,mss_up,4911,-0.05898384363133426,0.8875792816693561,0.5190388922826308,0.8972097169306813,-1.0908794346019428,309.25726738088264,-289.66965607348254,1637.0,136.41666666666666
H1_MSS_REVERSAL,EURGBP,mss_down,4763,-0.0541998932688611,0.8936949036764302,0.5187906781440269,0.8782971296850114,-1.059522818102639,269.528211432485,-258.15409163958543,1587.6666666666667,132.30555555555554
H1_MSS_REVERSAL,EURGBP,mss_up,4708,-0.04482687003986154,0.9114189343780633,0.5254885301614274,0.8777125760553904,-1.0664752987057762,226.50435429275305,-211.04490414766815,1569.3333333333333,130.77777777777777
H1_MSS_REVERSAL,EURJPY,mss_down,4827,-0.07727330405572853,0.8546506436675185,0.509633312616532,0.8915530398363725,-1.0841650683035398,395.75828817711954,-372.99823867700167,1609.0,134.08333333333334
H1_MSS_REVERSAL,EURJPY,mss_up,4862,-0.07075097574810761,0.8657805857038509,0.5131633072809544,0.8893431040523643,-1.082763958047295,350.8912440872994,-343.9912440872992,1620.6666666666667,135.05555555555554
H1_MSS_REVERSAL,EURUSD,mss_down,5056,-0.04423823556409147,0.9130486104372569,0.526503164556962,0.8822957434988652,-1.0744944812890667,278.07503494615673,-223.66851901204646,1685.3333333333333,140.44444444444446
H1_MSS_REVERSAL,EURUSD,mss_up,5004,-0.08347007354012807,0.8423911670298797,0.5053956834532374,0.8827394156014022,-1.0707604969902007,420.1842479948004,-417.6842479948009,1668.0,139.0
H1_MSS_REVERSAL,GBPAUD,mss_down,4979,-0.04721616273277683,0.9084120865149188,0.5260092388029725,0.8903116484137888,-1.0876336785772072,248.88927424649532,-235.08927424649585,1659.6666666666667,138.30555555555554
H1_MSS_REVERSAL,GBPAUD,mss_up,4874,-0.033789706866339614,0.9334114244378855,0.5322117357406647,0.8899658962282367,-1.084764283369555,183.34870278621787,-164.69103126653928,1624.6666666666667,135.38888888888889
H1_MSS_REVERSAL,GBPJPY,mss_down,4856,-0.09122721050803613,0.8305686536389845,0.5020593080724877,0.8907403925456412,-1.0813169608160864,457.79933422702373,-442.99933422702344,1618.6666666666667,134.88888888888889
H1_MSS_REVERSAL,GBPJPY,mss_up,4859,-0.06549766020061829,0.8747133384563434,0.5147149619263223,0.8884232291217802,-1.077268713718565,321.30410073675876,-318.2531309148043,1619.6666666666667,134.97222222222223
H1_MSS_REVERSAL,GBPUSD,mss_down,4976,-0.05363251313865879,0.8955513509729681,0.5215032154340836,0.8817771157617319,-1.073115078025897,288.05702025130176,-266.87538537796615,1658.6666666666667,138.22222222222223
H1_MSS_REVERSAL,GBPUSD,mss_up,4975,-0.04036618154411891,0.9201655950885903,0.5272361809045226,0.8824464537857775,-1.069506293138642,222.97576763799088,-200.8217531819916,1658.3333333333333,138.19444444444446
H1_MSS_REVERSAL,NZDUSD,mss_down,5276,-0.06252733485296429,0.8812438636761165,0.5181956027293404,0.8953982490783629,-1.0928060706783966,383.79580710100345,-329.89421868423955,1758.6666666666667,146.55555555555554
H1_MSS_REVERSAL,NZDUSD,mss_up,5204,-0.05998306754858802,0.8857894757297564,0.5190238278247502,0.8963255298709307,-1.0919405272489957,338.32386618569785,-312.1518835228521,1734.6666666666667,144.55555555555554
H1_MSS_REVERSAL,USDCAD,mss_down,5118,-0.03125356526719937,0.9379973039131932,0.5324345447440406,0.8880232927175971,-1.0780690429139066,207.96465890688341,-159.95574703752638,1706.0,142.16666666666666
H1_MSS_REVERSAL,USDCAD,mss_up,5092,-0.08866551767220072,0.8349987174452344,0.5051060487038491,0.8883225221690447,-1.085813628176837,470.85753149694483,-451.4848159868461,1697.3333333333333,141.44444444444446
H1_MSS_REVERSAL,USDCHF,mss_down,5095,-0.06968591258628554,0.867413117611757,0.5136408243375858,0.8875869008539374,-1.0806556271839707,368.5198702435554,-355.0497246271248,1698.3333333333333,141.52777777777777
H1_MSS_REVERSAL,USDCHF,mss_up,5041,-0.059160037311151076,0.8859757412032934,0.519539773854394,0.8847777875614704,-1.0798756291118923,315.50800237084826,-298.2257480855126,1680.3333333333333,140.02777777777777
H1_MSS_REVERSAL,USDJPY,mss_down,4988,-0.07453468008321004,0.8599863911482588,0.5120288692862871,0.8940983073968796,-1.0909227860914883,377.1789842550537,-371.7789842550517,1662.6666666666667,138.55555555555554
H1_MSS_REVERSAL,USDJPY,mss_up,4995,-0.06087993521081689,0.8837092347437844,0.517917917917918,0.8932590201063865,-1.0859453328045068,311.39527637802956,-304.09527637803035,1665.0,138.75
H2_OB_REVERSAL,AUDJPY,ob_candidate_down,4709,-0.07472950716528352,0.8596068977145135,0.5128477383733276,0.8921909105042278,-1.092651394119019,361.15634271120285,-351.9012492413201,1569.6666666666667,130.80555555555554
H2_OB_REVERSAL,AUDJPY,ob_candidate_up,4707,-0.06907063673003075,0.868968900015971,0.5141278946250265,0.8909475513628847,-1.0849184789621493,329.48404478953086,-325.1154870882547,1569.0,130.75
H2_OB_REVERSAL,AUDUSD,ob_candidate_down,4892,-0.06609789672848328,0.8747103355118285,0.5165576451349142,0.893342217973656,-1.0912586450804098,343.69359182516985,-323.3509107957402,1630.6666666666667,135.88888888888889
H2_OB_REVERSAL,AUDUSD,ob_candidate_up,4783,-0.08249588592740209,0.8455783202562341,0.5072130462053105,0.8906097442752493,-1.0840886983464233,402.2957216668802,-394.5778223907642,1594.3333333333333,132.86111111111111
H2_OB_REVERSAL,CADJPY,ob_candidate_down,4656,-0.10055023357436686,0.8156655230605216,0.5,0.889853707499561,-1.0909541746482947,471.4618875222515,-468.16188752225213,1552.0,129.33333333333334
H2_OB_REVERSAL,CADJPY,ob_candidate_up,4736,-0.06715532702751505,0.872325221423257,0.5154138513513513,0.8902207206653565,-1.0854363433317848,322.3006996249162,-318.04762880231124,1578.6666666666667,131.55555555555554
H2_OB_REVERSAL,CHFJPY,ob_candidate_down,4625,-0.06452303181026968,0.8772373950400546,0.5163243243243243,0.8929830627392158,-1.0866618578201808,307.3190221224969,-298.41902212249727,1541.6666666666667,128.47222222222223
H2_OB_REVERSAL,CHFJPY,ob_candidate_up,4593,-0.03893212333358923,0.9238115839168775,0.5299368604397997,0.890796333462603,-1.0870836119125293,218.61419873598788,-178.81524247117534,1531.0,127.58333333333333
H2_OB_REVERSAL,EURAUD,ob_candidate_down,4684,-0.07850702679186239,0.8526610697656318,0.5106746370623398,0.8896581541218969,-1.0889132714453142,370.0269134930859,-367.72691349308343,1561.3333333333333,130.11111111111111
H2_OB_REVERSAL,EURAUD,ob_candidate_up,4613,-0.05592140076839392,0.8930695205922179,0.5204855842185129,0.8973318641069502,-1.0906235205539734,275.0530330520016,-257.96542174460114,1537.6666666666667,128.13888888888889
H2_OB_REVERSAL,EURGBP,ob_candidate_down,4517,-0.059046123986590815,0.8846651730477638,0.5167146336063759,0.8765144803756016,-1.0593202653431448,269.94189530029297,-266.7113420474307,1505.6666666666667,125.47222222222223
H2_OB_REVERSAL,EURGBP,ob_candidate_up,4432,-0.04877078870265175,0.904052076162081,0.5232400722021661,0.8782469457536224,-1.0661650746487474,230.71158567523713,-216.15213553015255,1477.3333333333333,123.11111111111111
H2_OB_REVERSAL,EURJPY,ob_candidate_down,4543,-0.07236358852441092,0.8631511885702726,0.5122165969623597,0.8910709638205658,-1.0840568210635633,356.26550919008076,-328.74778266639885,1514.3333333333333,126.19444444444444
H2_OB_REVERSAL,EURJPY,ob_candidate_up,4585,-0.07287175506006892,0.8620163306047313,0.511886586695747,0.8893511750826987,-1.0819589834090748,342.7169969504159,-334.11699695041597,1528.3333333333333,127.36111111111111
H2_OB_REVERSAL,EURUSD,ob_candidate_down,4788,-0.04391613504838007,0.9136896080326526,0.5269423558897243,0.8822600205022256,-1.0755905016948164,260.411935955568,-210.2704546116438,1596.0,133.0
H2_OB_REVERSAL,EURUSD,ob_candidate_up,4724,-0.08805443334495731,0.8345896458510969,0.5025402201524132,0.884078241145872,-1.0701152713199482,418.46914312157793,-415.9691431215783,1574.6666666666667,131.22222222222223
H2_OB_REVERSAL,GBPAUD,ob_candidate_down,4709,-0.049144256474736726,0.9048705868885223,0.5249522191548099,0.8904809785170976,-1.0874784455224855,249.76203203336698,-231.42030373953526,1569.6666666666667,130.80555555555554
H2_OB_REVERSAL,GBPAUD,ob_candidate_up,4630,-0.033271890019365,0.9344168806167125,0.5321814254859611,0.8907716064299275,-1.0844460244843033,170.30652230933813,-154.04885078965995,1543.3333333333333,128.61111111111111
H2_OB_REVERSAL,GBPJPY,ob_candidate_down,4600,-0.08783453744110006,0.8362838135831568,0.5032608695652174,0.8915264371602155,-1.080053642999982,417.9388722290603,-404.0388722290603,1533.3333333333333,127.77777777777777
H2_OB_REVERSAL,GBPJPY,ob_candidate_up,4576,-0.0665850515881793,0.872731442562259,0.5142045454545454,0.8879741652312001,-1.0769664448297447,310.1441658894631,-304.6931960675085,1525.3333333333333,127.11111111111111
H2_OB_REVERSAL,GBPUSD,ob_candidate_down,4707,-0.056676520863946846,0.8899860660168968,0.5198640322923306,0.8819600718055136,-1.0729790616879156,286.55801857993316,-266.7763837065978,1569.0,130.75
H2_OB_REVERSAL,GBPUSD,ob_candidate_up,4687,-0.03822197804700247,0.9242498785515842,0.5280563260081075,0.8831591598824167,-1.0691525008206517,214.04830655270675,-179.14641110630058,1562.3333333333333,130.19444444444446
H2_OB_REVERSAL,NZDUSD,ob_candidate_down,4995,-0.06028579225130579,0.8852364512702802,0.5193193193193193,0.8954386022935766,-1.0928343467908417,354.45558962756337,-301.12753229527243,1665.0,138.75
H2_OB_REVERSAL,NZDUSD,ob_candidate_up,4899,-0.05946463969393373,0.8867098875319142,0.5190855276587059,0.8966220486998248,-1.0914376654092681,317.2892525234269,-291.31726986058135,1633.0,136.08333333333334
H2_OB_REVERSAL,USDCAD,ob_candidate_down,4828,-0.03675640853389371,0.9275236238371685,0.5296188898094449,0.8881741166918755,-1.0781687172094956,211.3776128826688,-177.45994040163885,1609.3333333333333,134.11111111111111
H2_OB_REVERSAL,USDCAD,ob_candidate_up,4780,-0.08276640316462029,0.8450252692227923,0.5081589958158996,0.8881028617442985,-1.0858465581896155,416.8961226369835,-395.623407126885,1593.3333333333333,132.77777777777777
H2_OB_REVERSAL,USDCHF,ob_candidate_down,4801,-0.06611477665907049,0.8737522136765885,0.5151010206207041,0.8883224585687471,-1.0799993482735004,336.0922743259847,-317.4170427401974,1600.3333333333333,133.36111111111111
H2_OB_REVERSAL,USDCHF,ob_candidate_up,4741,-0.062405594746918605,0.8801831762608768,0.5178232440413415,0.88531382474959,-1.080188260916616,309.8508962761456,-295.8649246951411,1580.3333333333333,131.69444444444446
H2_OB_REVERSAL,USDJPY,ob_candidate_down,4708,-0.07595845981166358,0.8575449175486197,0.5112574341546304,0.894366333740032,-1.0909831352045063,364.61242879331434,-357.6124287933121,1569.3333333333333,130.77777777777777
H2_OB_REVERSAL,USDJPY,ob_candidate_up,4710,-0.06806393368099017,0.8709472185668645,0.5142250530785563,0.8932813785738533,-1.085711812300409,327.5811276374629,-320.58112763746374,1570.0,130.83333333333334
H3_SHOCK_REVERSAL,AUDJPY,m15_shock_down_0_5_1_0,6715,-0.06573822339371693,0.8752974243667385,0.5163067758749069,0.8936971339711891,-1.0898645731425252,446.4321700888084,-441.4321700888092,2238.3333333333335,186.52777777777777
H3_SHOCK_REVERSAL,AUDJPY,m15_shock_down_1_0_1_5,2438,-0.08292185676610986,0.8457473853845477,0.5086136177194421,0.8939004665778467,-1.0939900378566825,221.69873090762613,-202.16348679577584,812.6666666666666,67.72222222222223
H3_SHOCK_REVERSAL,AUDJPY,m15_shock_up_1_0_1_5,2395,-0.11242725744416865,0.7967435154257195,0.49269311064718163,0.8944771579708107,-1.0903261958718853,276.6187612009502,-269.2632815787839,798.3333333333334,66.52777777777777
H3_SHOCK_REVERSAL,AUDUSD,m15_shock_down_0_5_1_0,6826,-0.0807845868973134,0.8489945853743059,0.5086434222092001,0.8929506880610908,-1.0887776920420897,572.9355901610608,-551.4355901610612,2275.3333333333335,189.61111111111111
H3_SHOCK_REVERSAL,AUDUSD,m15_shock_down_1_0_1_5,2641,-0.06374185719554716,0.8790690229301433,0.518742900416509,0.8932190188506933,-1.095241778661597,174.78492588286915,-168.34224485344004,880.3333333333334,73.36111111111111
H3_SHOCK_REVERSAL,AUDUSD,m15_shock_up_1_0_1_5,2654,-0.06871110638750748,0.8700398009239779,0.5146948003014318,0.8937291294919625,-1.0894357664894918,185.0592763524446,-182.35927635244485,884.6666666666666,73.72222222222223
H3_SHOCK_REVERSAL,CADJPY,m15_shock_down_0_5_1_0,6631,-0.06009662069201059,0.885184593539999,0.5201327099984919,0.8907781676126623,-1.0907588283798852,410.70714652785733,-398.50069180872225,2210.3333333333335,184.19444444444446
H3_SHOCK_REVERSAL,CADJPY,m15_shock_down_1_0_1_5,2515,-0.06547149053642373,0.8760647163884681,0.5172962226640159,0.894652017387552,-1.0944012136081638,173.1607986991062,-164.66079869910567,838.3333333333334,69.86111111111111
H3_SHOCK_REVERSAL,CADJPY,m15_shock_up_1_0_1_5,2508,-0.018838842827641412,0.962467918477145,0.5386762360446571,0.8968297723689127,-1.0880422128626843,62.81505413486838,-47.24781781172466,836.0,69.66666666666667
H3_SHOCK_REVERSAL,CHFJPY,m15_shock_down_0_5_1_0,6599,-0.058821706586137466,0.8873605501945909,0.5190180330353084,0.8928217667963054,-1.085721169829637,427.1877100188978,-388.1644417619211,2199.6666666666665,183.30555555555554
H3_SHOCK_REVERSAL,CHFJPY,m15_shock_down_1_0_1_5,2325,-0.06005406257861078,0.885520917053846,0.5204301075268817,0.8925913246961056,-1.0938665456300967,165.445454029492,-139.62569549527007,775.0,64.58333333333333
H3_SHOCK_REVERSAL,CHFJPY,m15_shock_up_1_0_1_5,2460,-0.04342653833944532,0.9156351789933389,0.5276422764227642,0.8932575735420694,-1.0897397717492614,125.45087414861253,-106.8292843150355,820.0,68.33333333333333
H3_SHOCK_REVERSAL,EURAUD,m15_shock_down_0_5_1_0,6793,-0.07209597611492105,0.8637089877081863,0.5114088031797439,0.8933940346236344,-1.0826751557792,491.8720990254573,-489.74796574865866,2264.3333333333335,188.69444444444446
H3_SHOCK_REVERSAL,EURAUD,m15_shock_down_1_0_1_5,2404,-0.029549000139443882,0.9418609067950663,0.5349417637271214,0.8948593955539833,-1.0928667075292,86.72443609433026,-71.0357963352231,801.3333333333334,66.77777777777777
H3_SHOCK_REVERSAL,EURAUD,m15_shock_up_1_0_1_5,2458,-0.07306551953789052,0.8628851151886168,0.5122050447518307,0.8977119356952102,-1.0924223303289446,183.19504702413465,-179.59504702413489,819.3333333333334,68.27777777777777
H3_SHOCK_REVERSAL,EURGBP,m15_shock_down_0_5_1_0,6083,-0.06553520205212746,0.8733368562322555,0.5145487423968437,0.8781721241529923,-1.0658074441862366,400.8506340830897,-398.6506340830913,2027.6666666666667,168.97222222222223
H3_SHOCK_REVERSAL,EURGBP,m15_shock_down_1_0_1_5,2377,-0.01940766244532662,0.9611053178601129,0.5372318047959613,0.8926727303841063,-1.0782500821209504,97.14942357108814,-46.13201363254137,792.3333333333334,66.02777777777777
H3_SHOCK_REVERSAL,EURGBP,m15_shock_up_1_0_1_5,2429,-0.10144828457764005,0.8128756123535749,0.4965006175380815,0.8876027044737663,-1.0767512222685607,258.41788323908736,-246.41788323908767,809.6666666666666,67.47222222222223
H3_SHOCK_REVERSAL,EURJPY,m15_shock_down_0_5_1_0,6476,-0.07961868848612023,0.8503435159178027,0.5083384805435454,0.8899403524968515,-1.0820647823667555,538.3205291225232,-515.6106266361146,2158.6666666666665,179.88888888888889
H3_SHOCK_REVERSAL,EURJPY,m15_shock_down_1_0_1_5,2445,-0.08206327774637188,0.84713042959841,0.5075664621676892,0.8959528979131087,-1.0901347677741253,210.4447140898793,-200.64471408987924,815.0,67.91666666666667
H3_SHOCK_REVERSAL,EURJPY,m15_shock_up_1_0_1_5,2408,-0.039762753281561786,0.9222526317953724,0.529485049833887,0.8908138337686832,-1.0869694156726142,119.45036659140496,-95.74870990200078,802.6666666666666,66.88888888888889
H3_SHOCK_REVERSAL,EURUSD,m15_shock_down_0_5_1_0,6539,-0.10338195745685201,0.8093421527416675,0.496253249732375,0.8843391714535329,-1.0764102098291044,687.3363534088803,-676.0146198103553,2179.6666666666665,181.63888888888889
H3_SHOCK_REVERSAL,EURUSD,m15_shock_down_1_0_1_5,2588,-0.08145686058393072,0.8476850824689239,0.508500772797527,0.8915139671693922,-1.0880839119387837,229.52815630467256,-210.8103551912127,862.6666666666666,71.88888888888889
H3_SHOCK_REVERSAL,EURUSD,m15_shock_up_1_0_1_5,2641,-0.06381305999709674,0.8784202288797615,0.516849678152215,0.8920441047811254,-1.0863405129142385,175.3578992807229,-168.5302914523325,880.3333333333334,73.36111111111111
H3_SHOCK_REVERSAL,GBPAUD,m15_shock_down_0_5_1_0,6621,-0.061213324318983096,0.8827400129538577,0.5174444947893068,0.8905640620969176,-1.0818046626165967,410.69342031598643,-405.2934203159871,2207.0,183.91666666666666
H3_SHOCK_REVERSAL,GBPAUD,m15_shock_down_1_0_1_5,2341,-0.05143031181018412,0.9010100227331588,0.5241349850491243,0.8931294414749674,-1.0918026792077433,124.79835994764083,-120.39835994764103,780.3333333333334,65.02777777777777
H3_SHOCK_REVERSAL,GBPAUD,m15_shock_up_1_0_1_5,2391,-0.055731760400797505,0.8932408680962867,0.5211208699289,0.8948038548132574,-1.090113748659935,151.68597973455337,-133.25463911830684,797.0,66.41666666666667
H3_SHOCK_REVERSAL,GBPJPY,m15_shock_down_0_5_1_0,6458,-0.08276948747733705,0.8448804723539823,0.5075874883864974,0.888153754919607,-1.08361426375947,547.4709862300084,-534.5253501286427,2152.6666666666665,179.38888888888889
H3_SHOCK_REVERSAL,GBPJPY,m15_shock_down_1_0_1_5,2435,-0.09484213003451744,0.8255899177782079,0.5014373716632443,0.8953181621536718,-1.0907117484544344,247.59251467121433,-230.94058663404996,811.6666666666666,67.63888888888889
H3_SHOCK_REVERSAL,GBPJPY,m15_shock_up_1_0_1_5,2355,-0.0752701676830369,0.8582364128493966,0.510828025477707,0.8920524910619108,-1.085417006632839,193.56180591685467,-177.26124489355192,785.0,65.41666666666667
