hypothesis,classification,gate_detail,trade_count,expectancy_r,profit_factor,win_rate,average_win_r,average_loss_r,max_drawdown_r,total_r,annual_trade_frequency,monthly_trade_frequency
H1_MSS_REVERSAL,REJECTED,one or more frozen gate criteria failed,149318,-0.06388746893120824,0.8779157569570031,0.5167628819030525,0.8890324236350081,-1.0829185231774856,9557.79782399432,-9539.549085870152,49772.666666666664,4147.722222222223
H2_OB_REVERSAL,REJECTED,one or more frozen gate criteria failed,140958,-0.06422606117984629,0.8773097567236292,0.5164800862668313,0.8892024263224327,-1.0826470475514192,9066.91553649212,-9053.177131788774,46986.0,3915.5
H3_SHOCK_REVERSAL,REJECTED,one or more frozen gate criteria failed,174528,-0.07114512912109958,0.8653763534692229,0.5131153740374037,0.8912792966087056,-1.0854198522441503,12428.923825119971,-12416.817095247266,58176.0,4848.0
H4_LONDON_SWEEP_REVERSAL,REJECTED,one or more frozen gate criteria failed,49797,-0.08603080377964469,0.8396401816031263,0.5056127879189509,0.8909094982182777,-1.08515355140155,4288.233221601106,-4284.075935814966,16599.0,1383.25
H5_PEER_CONVERGENCE,REJECTED,one or more frozen gate criteria failed,23433,-0.27683768647552076,0.5351862353403247,0.43135748730422907,0.7389479099968579,-1.0473863400697274,6488.811160434364,-6487.137507180878,7811.0,650.9166666666666
