mechanism,raw_signal_hours,approx_per_week
S3-01,30775,117.9764512595838
S3-02,10632,40.7579408543264
S3-03,6330,24.266155531215773
S3-04,417,1.5985761226725084
S3-05,22486,86.20043811610077
S3-06,4591,17.599671412924426
