mechanism,horizon_h1,year,sample_count,mean_forward_atr,t_stat
S3-01,4,2013,5888.0,0.0004903248595819814,0.026219154805562743
S3-01,4,2014,6224.0,-0.010503480370268603,-0.5413218104657296
S3-01,4,2015,6220.0,-0.057865676249759815,-2.919066310289833
S3-01,4,2016,6236.0,0.006232829756636136,0.3254147455462182
S3-01,4,2017,6207.0,-0.0030821544684068664,-0.15753667069695196
S3-01,8,2013,5888.0,0.008525095095949427,0.3278656364423304
S3-01,8,2014,6224.0,-0.03959608335742324,-1.4817302676902258
S3-01,8,2015,6220.0,-0.08670944708827981,-3.065574168828299
S3-01,8,2016,6236.0,-0.007585347196972319,-0.2790918446636784
S3-01,8,2017,6207.0,-0.042124616507012595,-1.5666586224552679
S3-02,4,2013,1697.0,0.007017511448218869,0.20149239075477426
S3-02,4,2014,1699.0,0.02228809950235774,0.6020040805466031
S3-02,4,2015,2015.0,-0.11519873951853185,-3.222458351449221
S3-02,4,2016,2173.0,0.047231970381197155,1.3938232755629427
S3-02,4,2017,3048.0,-0.03755301609850295,-1.328335614151052
S3-02,8,2013,1697.0,0.008493987297041221,0.16715114021555577
S3-02,8,2014,1699.0,-0.024665186767573555,-0.48429097625819273
S3-02,8,2015,2015.0,-0.11198997444261316,-2.1188995755957194
S3-02,8,2016,2173.0,0.051328318582958964,1.0431491343706103
S3-02,8,2017,3048.0,-0.1005332971138107,-2.595654047614319
S3-03,4,2013,1247.0,0.02560469214933412,0.6658767766176993
S3-03,4,2014,1222.0,-0.08754069808203269,-2.035529487040053
S3-03,4,2015,1229.0,-0.11912200843815068,-2.7750013553754713
S3-03,4,2016,1304.0,-0.00797867524111509,-0.1941784749709121
S3-03,4,2017,1328.0,-0.03168966493338924,-0.7602093075057889
S3-03,8,2013,1247.0,0.15826804058500915,2.863484288283241
S3-03,8,2014,1222.0,-0.05169074297216505,-0.9004569332786962
S3-03,8,2015,1229.0,-0.18279744354739533,-2.98083737953734
S3-03,8,2016,1304.0,0.012654063387509346,0.20215009840004222
S3-03,8,2017,1328.0,-0.10465346548397726,-1.8371642153288004
S3-04,4,2013,69.0,0.30019629841634554,2.210294511686884
S3-04,4,2014,80.0,0.16018082745867993,0.9679461645005601
S3-04,4,2015,75.0,-0.18165631206056293,-1.272828886556723
S3-04,4,2016,75.0,0.41136535234683863,2.9136784399920512
S3-04,4,2017,118.0,-0.19320837260730422,-1.5661581050592177
S3-04,8,2013,69.0,0.14789733077031172,0.7406624578606199
S3-04,8,2014,80.0,-0.09142774551154707,-0.37693196822369657
S3-04,8,2015,75.0,0.05787070917168316,0.2438873591971737
S3-04,8,2016,75.0,0.29293313815224076,1.6795097154115208
S3-04,8,2017,118.0,-0.4388711599628681,-2.479984357898082
S3-05,4,2013,4325.0,-0.003844738587667441,-0.1713465150089888
S3-05,4,2014,4578.0,-0.0196171377473775,-0.8393047216150926
S3-05,4,2015,4496.0,-0.05504643937642021,-2.3037867288099387
S3-05,4,2016,4505.0,0.025947609103108882,1.126039731544395
S3-05,4,2017,4582.0,-0.002962565326460976,-0.12366517420137618
S3-05,8,2013,4325.0,-0.004041583224680721,-0.13029991915272934
S3-05,8,2014,4578.0,-0.06699106572729804,-2.078392669612362
S3-05,8,2015,4496.0,-0.09044138004953976,-2.6609190824640625
S3-05,8,2016,4505.0,0.0021007897785782844,0.06273319684344669
S3-05,8,2017,4582.0,-0.05015275729016251,-1.5250055492535404
S3-06,4,2013,753.0,-0.004401284539077818,-0.08907099771894936
S3-06,4,2014,710.0,-0.010879413039440067,-0.21411400837577158
S3-06,4,2015,874.0,-0.1390140374565608,-2.779707547415212
S3-06,4,2016,939.0,0.06306136273474579,1.3246965278973395
S3-06,4,2017,1315.0,-0.04451485975942452,-1.0694850944612675
S3-06,8,2013,753.0,-0.042668627977279674,-0.5769388138000949
S3-06,8,2014,710.0,-0.07935830426936624,-1.109475701493352
S3-06,8,2015,874.0,-0.16275798654796553,-2.26045814385275
S3-06,8,2016,939.0,0.09034211113968653,1.186915788133772
S3-06,8,2017,1315.0,-0.09265807327377619,-1.5940145154549585
