event,horizon,dispersion_regime,event_count,mean_forward_return,median_forward_return,standard_error,t_statistic,directional_probability,p25,p50,p75,pair_breadth_same_sign,year_breadth_same_sign
mss_up,1,not_applicable,228423,-0.03763060272920499,-0.0716502422697862,0.0016253219834565355,-23.15270642508436,0.4437950644199577,-0.4536227014950396,-0.0716502422697862,0.3343448650218733,15,5
mss_up,2,not_applicable,227681,-0.042157823172039616,-0.087260031946077,0.002267015226263585,-18.596179983106097,0.4514034987548368,-0.6089840239342728,-0.087260031946077,0.4765657586920643,15,5
mss_up,4,not_applicable,226296,-0.050114611147647634,-0.10017808068682935,0.0034672360139407724,-14.453764020144865,0.46056934280765016,-0.822424898469919,-0.10017808068682935,0.6819256402290164,15,5
mss_up,8,not_applicable,222123,-0.05603174180736521,-0.1057509660704521,0.004873473333353976,-11.497291146313419,0.470874245350549,-1.1448800606371194,-0.1057509660704521,1.005574712309168,15,5
mss_up,16,not_applicable,214179,-0.060799669707613704,-0.0913498852922639,0.007550706792289336,-8.052182581066633,0.482180792701432,-1.6035452988202734,-0.0913498852922639,1.5154298139886062,15,4
mss_down,1,not_applicable,225582,0.04155508498923482,0.07548878756531766,0.001724962909607209,24.090422326064576,0.44178170244079756,-0.33874134299674014,0.07548878756531766,0.4665237516819858,15,5
mss_down,2,not_applicable,224706,0.053301438332628605,0.0981400670012337,0.002550187049057483,20.90099169483593,0.44628536843697986,-0.47624930908864876,0.0981400670012337,0.6316585800186454,15,5
mss_down,4,not_applicable,223412,0.06313755912575043,0.1200058034559135,0.0036108426646725765,17.48554700083439,0.4541295901742073,-0.6823204225047155,0.1200058034559135,0.8626518433190581,15,5
mss_down,8,not_applicable,219962,0.06716555458944035,0.12694122053091875,0.005269341542049891,12.746479622444713,0.4653076440476082,-0.9901955108192346,0.12694122053091875,1.1829387376834442,15,5
mss_down,16,not_applicable,212034,0.07867038721108188,0.15480764395273489,0.007657785869918233,10.273255030559099,0.4711272720412764,-1.483046575080582,0.15480764395273489,1.6844561923007373,14,5
fvg_up,1,not_applicable,179896,-0.012918712875827984,-0.04129778061008835,0.0017236053432868078,-7.495168732299707,0.46288411081958464,-0.41248520239712505,-0.04129778061008835,0.3466397736389225,15,5
fvg_up,2,not_applicable,178630,-0.012145390012995347,-0.0483941895146336,0.002428368583710916,-5.001460690302354,0.47050327492582433,-0.5595463698121725,-0.0483941895146336,0.49057760003279255,10,5
fvg_up,4,not_applicable,177191,-0.01934337726343453,-0.0587578774705704,0.003695968067053731,-5.233642962411807,0.4746967961126694,-0.7646452512696962,-0.0587578774705704,0.6927166012297719,12,4
fvg_up,8,not_applicable,173774,-0.018458047130278394,-0.05233523740640185,0.005369664363763942,-3.4374675733624374,0.48368570672252464,-1.0662472145599524,-0.05233523740640185,1.015863045780744,10,4
fvg_up,16,not_applicable,167481,-0.020377249282638874,-0.0456568794732523,0.008350852278951302,-2.440140072169717,0.49047951707954934,-1.5196231071241864,-0.0456568794732523,1.4952464328762085,9,4
fvg_down,1,not_applicable,175402,0.017704030894832773,0.04637128927658635,0.0021523048915508707,8.225614765051205,0.4598351216063671,-0.3520375060642334,0.04637128927658635,0.42360573746147245,15,5
fvg_down,2,not_applicable,174095,0.017842154408361455,0.0557426857871717,0.0028950450250761375,6.162997208615855,0.46590080128665384,-0.4952003833728511,0.0557426857871717,0.5748600826906272,13,5
fvg_down,4,not_applicable,172935,0.02680327353661919,0.0762941536786882,0.004081431275286807,6.567126022411266,0.46891028421083064,-0.6931003725681831,0.0762941536786882,0.7931355777248652,13,4
fvg_down,8,not_applicable,170177,0.017748155853291307,0.0742012184484867,0.005542536141764263,3.2021723267720237,0.47843715660753217,-1.0045530629225767,0.0742012184484867,1.092754152129645,9,4
fvg_down,16,not_applicable,163910,0.031460601753254,0.09336411659525864,0.008243981294791718,3.8161903367162897,0.48141053016899515,-1.4660105995156436,0.09336411659525864,1.5679527649857343,11,4
asia_sweep_low,1,not_applicable,65439,-0.023622158764702614,-0.019151112220771,0.0032252747782869047,-7.324076362029984,0.48157826372652396,-0.4308679404288106,-0.019151112220771,0.3895420305819407,15,5
asia_sweep_low,2,not_applicable,65212,-0.028510484731005585,-0.0234965790957941,0.004580162696601071,-6.224775541742908,0.4849107526222168,-0.5943873961787158,-0.0234965790957941,0.5515811431172342,14,5
asia_sweep_low,4,not_applicable,64806,-0.03689285081206746,-0.01519724496805175,0.006510291553055105,-5.666850787159392,0.4920532049501589,-0.8279773621337989,-0.01519724496805175,0.7717977583385034,13,4
asia_sweep_low,8,not_applicable,64033,-0.04718203022472438,-0.0153863812278127,0.00923763224086693,-5.107589152119836,0.49397966673434013,-1.159322307898974,-0.0153863812278127,1.0952168965442275,13,5
asia_sweep_low,16,not_applicable,62411,-0.05269989354132813,0.0,0.013336740478169703,-3.951482270168649,0.4983736841261957,-1.6587242138731955,0.0,1.5603811590976309,13,5
asia_sweep_high,1,not_applicable,67951,0.0262197899646952,0.023523147716549,0.0033201504246241536,7.89716928794373,0.4786095863195538,-0.38509128769491235,0.023523147716549,0.4306852296632346,15,5
asia_sweep_high,2,not_applicable,67740,0.027495742830988382,0.0202637321684052,0.004529687006764405,6.070119809586762,0.4859462651313847,-0.5492847727602659,0.0202637321684052,0.5910117932511552,15,5
asia_sweep_high,4,not_applicable,67357,0.03381150935411562,0.0191884526782671,0.006376015665615663,5.30292131125917,0.49007527057321437,-0.7772468881405785,0.0191884526782671,0.8229485032847175,15,5
asia_sweep_high,8,not_applicable,66599,0.03608193779463094,0.026353206403113,0.009121055558918739,3.9558949686858713,0.4911034700220724,-1.0906401432741184,0.026353206403113,1.1471352835037045,13,4
asia_sweep_high,16,not_applicable,64968,0.03634443591775245,0.039125863569978,0.0138447870647264,2.6251350597041982,0.49130341090998647,-1.5412030361161995,0.039125863569978,1.668004724560647,8,4
prior_sweep_low,1,not_applicable,48772,-0.019825292799003285,-0.015360446225169251,0.003503553475880669,-5.658624289734841,0.4828795210366604,-0.4128843668617238,-0.015360446225169251,0.3794801643662178,13,5
prior_sweep_low,2,not_applicable,48622,-0.028573071970837628,-0.0174511360546806,0.004943095218034094,-5.7804008845699215,0.4868166673522274,-0.5674725885569145,-0.0174511360546806,0.5318904018279026,14,5
prior_sweep_low,4,not_applicable,48331,-0.02997673532164852,-0.0126033024123407,0.007048512287362179,-4.252916658086291,0.4917340837143862,-0.79590595327455,-0.0126033024123407,0.7483562107210038,11,5
prior_sweep_low,8,not_applicable,47797,-0.02652354438619581,-0.0111650637770413,0.009958782205619094,-2.66333210613144,0.49559595790530786,-1.0934646515194792,-0.0111650637770413,1.076558613145293,11,4
prior_sweep_low,16,not_applicable,45485,-0.0055343021660441815,0.0,0.014618064882772324,-0.37859335079066897,0.4982082005056612,-1.5605461025759402,0.0,1.555015584899809,8,3
prior_sweep_high,1,not_applicable,52608,0.029382364835746338,0.02913308573461615,0.003630078691572557,8.09413991601869,0.4744715632603406,-0.37470826955492187,0.02913308573461615,0.42183653841295987,15,5
prior_sweep_high,2,not_applicable,52467,0.03510146197805176,0.0332849126177861,0.004980897419475652,7.047216399358603,0.47921550689004516,-0.5170373001783996,0.0332849126177861,0.5725359189646212,14,5
prior_sweep_high,4,not_applicable,52184,0.04078844542952651,0.031897285692275346,0.006932106477572237,5.883990034124727,0.48543614901119114,-0.7342370146851118,0.031897285692275346,0.7985200315152992,13,5
prior_sweep_high,8,not_applicable,51623,0.03976912660360942,0.0394019727208408,0.009944765854806442,3.9990007994394814,0.48726342909168396,-1.0389600483101946,0.0394019727208408,1.128575691260123,11,5
prior_sweep_high,16,not_applicable,49118,0.04660744005896061,0.05658095619978165,0.014581495488977206,3.1963415614120803,0.48800846940021986,-1.4991632823457754,0.05658095619978165,1.6318778273389347,11,3
ob_candidate_up,1,not_applicable,201655,-0.03592510943976762,-0.0688399832217087,0.0017308089788488437,-20.756253219613704,0.4452902234013538,-0.4505912574499551,-0.0688399832217087,0.336939992530337,15,5
ob_candidate_up,2,not_applicable,200966,-0.03905268406859742,-0.08283704098355249,0.002418749064919266,-16.145818776740665,0.4538230347421952,-0.6044111750191064,-0.08283704098355249,0.4809606637205765,15,5
ob_candidate_up,4,not_applicable,199758,-0.047313219970910814,-0.0970587970776639,0.0037386921580602876,-12.655018913206781,0.4618238068062355,-0.8193557643338366,-0.0970587970776639,0.6863555736486877,14,5
ob_candidate_up,8,not_applicable,196207,-0.05720624247167979,-0.1034927785858444,0.005235711831919844,-10.926163300836834,0.47173648238849786,-1.146823674820862,-0.1034927785858444,1.0089318929287279,14,5
ob_candidate_up,16,not_applicable,189256,-0.06468862537902029,-0.0922800036313544,0.007814735774714358,-8.277775121755125,0.48209832184976964,-1.6177698427285696,-0.0922800036313544,1.5200187077627034,15,4
ob_candidate_down,1,not_applicable,199875,0.04168943640681493,0.0739534751307036,0.001831666460920806,22.760386400183922,0.44232645403377113,-0.3385924545440766,0.0739534751307036,0.4655057915307791,15,5
ob_candidate_down,2,not_applicable,199081,0.051159001466503276,0.0962249806368531,0.0025206815262410363,20.29570214797983,0.4469185909253018,-0.4770495891176888,0.0962249806368531,0.6271563516789469,15,5
ob_candidate_down,4,not_applicable,197933,0.06211752660021016,0.1181906684228936,0.003728951443902589,16.65817523630722,0.45462858644086634,-0.682426542929688,0.1181906684228936,0.8603348948578857,15,5
