event,horizon,dispersion_regime,year,event_count,mean_forward_return,median_forward_return,standard_error,t_statistic,directional_probability,p25,p50,p75
mss_up,1,not_applicable,2013,45971,-0.032834569008261406,-0.0790702318908899,0.003613457224731505,-9.086746283734174,0.43855909160122686,-0.4536299161641568,-0.0790702318908899,0.33452330762908333
mss_up,1,not_applicable,2014,44331,-0.04223951780000463,-0.0803179294115992,0.0037361035803503977,-11.305767329941938,0.4345040716428684,-0.4579268279441324,-0.0803179294115992,0.31930311502837627
mss_up,1,not_applicable,2015,45524,-0.04043242562667908,-0.06638779323066646,0.003583007623243501,-11.28449333023685,0.4493893330990247,-0.4543012861335962,-0.06638779323066646,0.3422138623010833
mss_up,1,not_applicable,2016,46417,-0.03201120623949071,-0.0673239975707817,0.0036271405831395436,-8.825466095329224,0.44862873516168644,-0.4506809713590402,-0.0673239975707817,0.3418049267919594
mss_up,1,not_applicable,2017,46180,-0.04086676542864925,-0.06412393002944414,0.0036141381998990867,-11.307471703708044,0.44755305326981376,-0.45201538518089135,-0.06412393002944414,0.33346210388557085
mss_up,2,not_applicable,2013,45811,-0.03142541711365066,-0.0922931662935814,0.005082359796230343,-6.183233453278796,0.44899696579424153,-0.6081942967184859,-0.0922931662935814,0.4789214833008514
mss_up,2,not_applicable,2014,44194,-0.04342714999858923,-0.0992474102085526,0.005208296086283893,-8.338072428899563,0.44368013757523644,-0.6070254109129678,-0.0992474102085526,0.45837821471146534
mss_up,2,not_applicable,2015,45407,-0.04799410297162748,-0.0817484253807633,0.005023012935055603,-9.554843595300477,0.45470962626907746,-0.6094102496802045,-0.0817484253807633,0.4801698719465955
mss_up,2,not_applicable,2016,46267,-0.03930267614232307,-0.0839235205905322,0.005034749783317985,-7.806281907503643,0.4539952882183846,-0.6095961370266736,-0.0839235205905322,0.4901689411719393
mss_up,2,not_applicable,2017,46002,-0.0487370317919329,-0.0802960001275376,0.005001688571823391,-9.744115630567052,0.4553497674014173,-0.6101338327580708,-0.0802960001275376,0.47602205596286135
mss_up,4,not_applicable,2013,45540,-0.007922511803137786,-0.08368833483956789,0.007184738584905411,-1.1026861603263312,0.4673254281949934,-0.8030899081228497,-0.08368833483956789,0.7095537592807087
mss_up,4,not_applicable,2014,43898,-0.06513477804095491,-0.12060642598449005,0.007389926668524821,-8.813995180544481,0.45045332361383206,-0.8243794721744074,-0.12060642598449005,0.6414294345207244
mss_up,4,not_applicable,2015,45185,-0.05606774921481874,-0.0861094478819933,0.009726882620884036,-5.764205388316177,0.46477813433661613,-0.8169092505160559,-0.0861094478819933,0.6962199544545792
mss_up,4,not_applicable,2016,45997,-0.05535759529605325,-0.0992557680466302,0.007058546041376982,-7.842634300541317,0.46337804639433006,-0.836803363845029,-0.0992557680466302,0.6878423657344727
mss_up,4,not_applicable,2017,45676,-0.06657662254153576,-0.1069285873800743,0.007082858736119907,-9.399682391238457,0.456563622033453,-0.8339785066256952,-0.1069285873800743,0.6738100613439689
mss_up,8,not_applicable,2013,44699,-0.008899509670454544,-0.0922497830980701,0.010399829824436223,-0.8557360861370622,0.4730978321662677,-1.1293687033834519,-0.0922497830980701,1.0492551773300656
mss_up,8,not_applicable,2014,43130,-0.06872287514869813,-0.12328229323162901,0.010896018244845967,-6.307154926177313,0.46605610943658704,-1.1280430308238252,-0.12328229323162901,0.9529120961447755
