event,horizon,dispersion_regime,pair,event_count,mean_forward_return,median_forward_return,standard_error,t_statistic,directional_probability,p25,p50,p75
mss_up,1,not_applicable,AUDJPY,15456,-0.033518748668967,-0.058934335536804355,0.005712548283947031,-5.867565052037956,0.45393374741200826,-0.4371854913358048,-0.058934335536804355,0.3391589127175363
mss_up,1,not_applicable,AUDUSD,15499,-0.05161601168229826,-0.0815820303047382,0.006390068968557938,-8.077535928997424,0.43577004968062455,-0.46827227545564615,-0.0815820303047382,0.33312579903310174
mss_up,1,not_applicable,CADJPY,15499,-0.02978450487201188,-0.0612302409231234,0.00584505064695492,-5.095679519480063,0.4522872443383444,-0.43266847918528245,-0.0612302409231234,0.3417778193519596
mss_up,1,not_applicable,CHFJPY,14677,-0.04431866601497217,-0.0881451699250017,0.005915933081125857,-7.491407594917878,0.43305852694692376,-0.4432056939987459,-0.0881451699250017,0.3064631180571596
mss_up,1,not_applicable,EURAUD,14810,-0.04363848354428555,-0.0802380935581852,0.006184257697708205,-7.056381812882302,0.44085077650236326,-0.464428111008887,-0.0802380935581852,0.3329727918174519
mss_up,1,not_applicable,EURGBP,14021,-0.04353398991729876,-0.0830603966331962,0.006863168146865386,-6.343133227353905,0.436060195421154,-0.4723535789813614,-0.0830603966331962,0.3306527032660655
mss_up,1,not_applicable,EURJPY,15211,-0.024269675398086533,-0.0742246252521234,0.0060018766607748495,-4.04368113005396,0.44290316218526066,-0.4414453139744293,-0.0742246252521234,0.32703489072517666
mss_up,1,not_applicable,EURUSD,14941,-0.04753027296316689,-0.0841437029558519,0.0069419906686134444,-6.846778572904698,0.4288200254333713,-0.4754183425523969,-0.0841437029558519,0.3292322368631137
mss_up,1,not_applicable,GBPAUD,14780,-0.05173369363974365,-0.0843410184958023,0.0061396292907075056,-8.426191743863752,0.437956698240866,-0.45832193856484355,-0.0843410184958023,0.31953697277227466
mss_up,1,not_applicable,GBPJPY,15297,-0.025344897863037685,-0.0636686860420905,0.006192695013236929,-4.092708878584007,0.4494345296463359,-0.4347864793831845,-0.0636686860420905,0.3273458563613162
mss_up,1,not_applicable,GBPUSD,14971,-0.045579729193943666,-0.0722002685243308,0.006900814972845028,-6.604977727022337,0.440852314474651,-0.4592121270263144,-0.0722002685243308,0.31511821856227407
mss_up,1,not_applicable,NZDUSD,15596,-0.05116245838492612,-0.0756475416649947,0.006309122405813007,-8.109282891355349,0.44428058476532445,-0.4851621675938891,-0.0756475416649947,0.34743257987592985
mss_up,1,not_applicable,USDCAD,16367,-0.031870599401822165,-0.0473015531730682,0.00623364391144665,-5.112675644385005,0.4584835339402456,-0.4665247056626296,-0.0473015531730682,0.36374162824540507
mss_up,1,not_applicable,USDCHF,15494,-0.03601296907226957,-0.06093834001212055,0.00658822812131676,-5.466260185458153,0.44785078094746356,-0.4528032018029402,-0.06093834001212055,0.3393187543169338
mss_up,1,not_applicable,USDJPY,15804,-0.007422557663176814,-0.0615147050834699,0.006110075281436774,-1.2148062538161415,0.45115160718805364,-0.4248949820750303,-0.0615147050834699,0.35053867462962324
mss_up,2,not_applicable,AUDJPY,15401,-0.02960046056131718,-0.0704914882273062,0.00793135264681658,-3.7320822663455724,0.46061944029608465,-0.570453616788554,-0.0704914882273062,0.4801216946804713
mss_up,2,not_applicable,AUDUSD,15460,-0.06114136232592758,-0.08834649933315025,0.009010205021310686,-6.785790354527753,0.4489003880983182,-0.6233765784414984,-0.08834649933315025,0.48261823972061746
mss_up,2,not_applicable,CADJPY,15447,-0.037182333397700454,-0.0747928483664154,0.008122920629200154,-4.577458662348362,0.45866511296691914,-0.5912870798647882,-0.0747928483664154,0.4881500032101531
mss_up,2,not_applicable,CHFJPY,14611,-0.04979482980451698,-0.0907746886141308,0.008225841160698275,-6.053463570683633,0.45048251317500515,-0.6013531299250241,-0.0907746886141308,0.44952065964938015
mss_up,2,not_applicable,EURAUD,14755,-0.0417058570536523,-0.0984804676593913,0.008613458290458629,-4.84194102383372,0.44913588614029143,-0.6193307596699493,-0.0984804676593913,0.4810730586529043
mss_up,2,not_applicable,EURGBP,13982,-0.03756107834826667,-0.09178135161453929,0.009672910802724201,-3.8831205119443744,0.44757545415534256,-0.6197021035494378,-0.09178135161453929,0.47070335144886505
mss_up,2,not_applicable,EURJPY,15148,-0.03345104663991149,-0.09597864939766271,0.008324936460578383,-4.018174408695421,0.44474518088196463,-0.5931119702716342,-0.09597864939766271,0.46232710648302616
mss_up,2,not_applicable,EURUSD,14889,-0.05926563409628111,-0.1111386243805667,0.009673328069637005,-6.126705686981325,0.43629525152797366,-0.62704798714024,-0.1111386243805667,0.451877151614463
mss_up,2,not_applicable,GBPAUD,14734,-0.05137462731279288,-0.08904510478647859,0.008501242950447241,-6.043190109052244,0.45215148635808333,-0.6018081895256269,-0.08904510478647859,0.4474526297692468
mss_up,2,not_applicable,GBPJPY,15245,-0.029892925615288727,-0.0825290916478262,0.008468986351761885,-3.5296934454345665,0.45510003279763855,-0.5852188239829447,-0.0825290916478262,0.476296724321488
mss_up,2,not_applicable,GBPUSD,14935,-0.05009973491566612,-0.1002671655713235,0.009520486600522215,-5.262308222031221,0.4441914964847673,-0.6271342111357818,-0.1002671655713235,0.45423485350681203
mss_up,2,not_applicable,NZDUSD,15547,-0.0641077515092329,-0.0987658768238102,0.008818732062909071,-7.269497593522011,0.4461310863832251,-0.6452949432975332,-0.0987658768238102,0.4787294795359628
mss_up,2,not_applicable,USDCAD,16322,-0.03338123103770874,-0.0660912856442118,0.00892487968685066,-3.740244374037948,0.4618306580075971,-0.6327469907174722,-0.0660912856442118,0.5280801966160109
mss_up,2,not_applicable,USDCHF,15457,-0.042260830283108786,-0.0802829824898534,0.009145834491370802,-4.620773568883447,0.45409846671411014,-0.621250543187894,-0.0802829824898534,0.4876127617007487
mss_up,2,not_applicable,USDJPY,15748,-0.013345551921107158,-0.07497727422167566,0.008568862331727408,-1.557447348838059,0.45910591821183644,-0.5814430685674935,-0.07497727422167566,0.49067431288337543
mss_up,4,not_applicable,AUDJPY,15332,-0.03291144262554327,-0.0781220173076648,0.01115471325884036,-2.9504516935440015,0.4686277067571093,-0.782325663889916,-0.0781220173076648,0.6774578896030149
mss_up,4,not_applicable,AUDUSD,15386,-0.07743010561224116,-0.099112717109645,0.012753894693152676,-6.071094945907928,0.4601585857272845,-0.8567048150708133,-0.099112717109645,0.6893906096727971
mss_up,4,not_applicable,CADJPY,15342,-0.039280702599187395,-0.0803243606422335,0.011460996010049287,-3.4273376035333314,0.4666927388867162,-0.7912554104836129,-0.0803243606422335,0.6878905826890707
mss_up,4,not_applicable,CHFJPY,14515,-0.056871142041933394,-0.1167632824146154,0.011449850451375124,-4.966976842488208,0.4524974164657251,-0.8158716364100835,-0.1167632824146154,0.6263498303722865
mss_up,4,not_applicable,EURAUD,14647,-0.04007384446135537,-0.1070645187945273,0.012101902534395397,-3.3113673116652174,0.4615279579436062,-0.8345342264844668,-0.1070645187945273,0.6743995308090986
mss_up,4,not_applicable,EURGBP,13904,-0.045505673652432174,-0.1128366969428698,0.013800810862750664,-3.297318839087572,0.452819332566168,-0.8360585055720507,-0.1128366969428698,0.6613092976019022
mss_up,4,not_applicable,EURJPY,15041,-0.03251232546786894,-0.1034174223688392,0.011785533964892632,-2.758663762262988,0.46060767236220995,-0.7991129139038075,-0.1034174223688392,0.6761857348975081
mss_up,4,not_applicable,EURUSD,14806,-0.0894619956193595,-0.1362916755217552,0.013822868340861034,-6.472028338351869,0.4460353910576793,-0.8673553957206726,-0.1362916755217552,0.653490479217568
mss_up,4,not_applicable,GBPAUD,14640,-0.05122462406241582,-0.10984431564406895,0.011939689303180642,-4.2902811590557866,0.45901639344262296,-0.8199502918824653,-0.10984431564406895,0.6612934378110069
mss_up,4,not_applicable,GBPJPY,15129,-0.028093178050826596,-0.0813343769485123,0.011802319915909241,-2.3803098247623056,0.468239804349263,-0.7883638412344144,-0.0813343769485123,0.7037497267804501
mss_up,4,not_applicable,GBPUSD,14841,-0.07325765954538706,-0.118565982524363,0.013474487481743644,-5.436767791327323,0.45387777103968735,-0.858563358734195,-0.118565982524363,0.6611401070733934
mss_up,4,not_applicable,NZDUSD,15477,-0.0818065944032808,-0.1171951969145888,0.012555479712432226,-6.5156088239525625,0.45564385862893325,-0.8698215824848929,-0.1171951969145888,0.7071038551337887
mss_up,4,not_applicable,USDCAD,16221,-0.020715908463127528,-0.0575140779241338,0.012597959973022294,-1.6443859567334147,0.4742617594476296,-0.8432827596882654,-0.0575140779241338,0.7600373065805578
mss_up,4,not_applicable,USDCHF,15377,-0.07503956398494319,-0.0933824693363576,0.02345526478331079,-3.1992631367920588,0.459907654288873,-0.8257528913004296,-0.0933824693363576,0.6875315040437977
mss_up,4,not_applicable,USDJPY,15638,-0.010564039755870619,-0.08396991983673675,0.012076820379856329,-0.8747368449307261,0.4659803043867502,-0.7780390300963407,-0.08396991983673675,0.6992049299423101
mss_up,8,not_applicable,AUDJPY,15043,-0.05646877183380279,-0.0826722889434617,0.01623828858577559,-3.477507591734038,0.4771654590174832,-1.095554669147412,-0.0826722889434617,0.971379487654142
mss_up,8,not_applicable,AUDUSD,15121,-0.0974068975256565,-0.1076482366813793,0.018539882238495398,-5.2539113394908785,0.47430725481118974,-1.1909635611375748,-0.1076482366813793,0.9967643549721704
mss_up,8,not_applicable,CADJPY,15049,-0.035737495096471096,-0.0711048634112858,0.016741993815824665,-2.1346020963579457,0.4785035550534919,-1.1210987105057324,-0.0711048634112858,0.9931112231401686
mss_up,8,not_applicable,CHFJPY,14231,-0.06988607807481965,-0.1326748373287215,0.016376484013443177,-4.267465349549473,0.4632141100414588,-1.1452491751670797,-0.1326748373287215,0.9197822759059555
mss_up,8,not_applicable,EURAUD,14404,-0.03680471007311695,-0.12176807262870071,0.017519653746138963,-2.1007669789837076,0.46980005554012777,-1.1685837303779252,-0.12176807262870071,1.0372099001032145
mss_up,8,not_applicable,EURGBP,13686,-0.028421212085631833,-0.1049168343032105,0.020508971775176847,-1.3857941001231282,0.4708461201227532,-1.1147871399312335,-0.1049168343032105,1.0056205308453947
mss_up,8,not_applicable,EURJPY,14766,-0.04374088515164145,-0.1022388947870232,0.017127583002932024,-2.5538270720482608,0.471894893674658,-1.1024548381176693,-0.1022388947870232,0.9716928990305593
mss_up,8,not_applicable,EURUSD,14526,-0.11971558776665055,-0.14831336310802715,0.020226089198680606,-5.918869762250424,0.4569737023268622,-1.206817929226307,-0.14831336310802715,0.9868364378620503
mss_up,8,not_applicable,GBPAUD,14364,-0.053885737921871735,-0.1267687713336295,0.017495484421683003,-3.0799797606683312,0.4677666388192704,-1.1397118025995576,-0.1267687713336295,1.0024733470306026
mss_up,8,not_applicable,GBPJPY,14820,-0.03260624926775554,-0.0894733936084595,0.017109952827790008,-1.9056890218187172,0.47469635627530365,-1.0958742994165207,-0.0894733936084595,1.0042073394877518
mss_up,8,not_applicable,GBPUSD,14544,-0.09074214380713239,-0.1463915724364256,0.019785447634693285,-4.58630734479913,0.45792079207920794,-1.159913668658363,-0.1463915724364256,0.9369892891301379
mss_up,8,not_applicable,NZDUSD,15205,-0.07358944514290756,-0.1145866148523149,0.017996468489568523,-4.089104769947669,0.46945083853995395,-1.1951571482934162,-0.1145866148523149,1.040034754434995
mss_up,8,not_applicable,USDCAD,15914,-0.003055985589128619,-0.058994000842692504,0.018674996122263216,-0.16364049390540195,0.4833479954756818,-1.197231843548483,-0.058994000842692504,1.1226257163006292
mss_up,8,not_applicable,USDCHF,15105,-0.09995654867071896,-0.1146010395967365,0.027522772108190468,-3.6317761989161337,0.4668652763985435,-1.1712245877028518,-0.1146010395967365,1.0386089923068431
mss_up,8,not_applicable,USDJPY,15345,-0.0021411073990548783,-0.0711742542105607,0.018030281970573367,-0.1187506331043136,0.47807103290974257,-1.080890150232114,-0.0711742542105607,1.0737728710817953
mss_up,16,not_applicable,AUDJPY,14495,-0.07468957853790564,-0.0585605425165106,0.0238518536736268,-3.131395134311534,0.4884442911348741,-1.4818886488976424,-0.0585605425165106,1.4698499424193652
mss_up,16,not_applicable,AUDUSD,14529,-0.10679490584472774,-0.0978143138752976,0.026810076298458635,-3.983386867528892,0.48096909629017826,-1.740420122390349,-0.0978143138752976,1.5363679028131814
mss_up,16,not_applicable,CADJPY,14517,-0.04181073894565869,-0.0456626657160839,0.02474766162490861,-1.6894824076459827,0.49004615278638836,-1.539749843004388,-0.0456626657160839,1.4569757376840724
mss_up,16,not_applicable,CHFJPY,13764,-0.022725948588790644,-0.1132023409699644,0.024177475790970845,-0.9399636581283527,0.475297878523685,-1.5156975921372169,-0.1132023409699644,1.3972496994356187
mss_up,16,not_applicable,EURAUD,13927,-0.0018819674347919015,-0.1023131685443031,0.025406935413966998,-0.07407298063021502,0.48273138507934227,-1.6190263172104584,-0.1023131685443031,1.5506127416548783
mss_up,16,not_applicable,EURGBP,13271,-0.028226213826307262,-0.1027795335239487,0.031624115396843164,-0.8925534666220232,0.4785622786527014,-1.56464317027311,-0.1027795335239487,1.5235869665873534
mss_up,16,not_applicable,EURJPY,14275,-0.050995537619971436,-0.0855050516757318,0.025271374987054434,-2.0179170166282807,0.48259194395796845,-1.5611279492174677,-0.0855050516757318,1.4422797789500676
mss_up,16,not_applicable,EURUSD,13978,-0.1490299053752127,-0.14557972772621,0.03024518419912659,-4.927392883245074,0.4706681928745171,-1.7184414505062269,-0.14557972772621,1.5140556366650482
mss_up,16,not_applicable,GBPAUD,13843,-0.035284903114855694,-0.1008568121817178,0.025223801606088756,-1.3988733207582118,0.47988152857039656,-1.5988732880611058,-0.1008568121817178,1.4971197634533233
mss_up,16,not_applicable,GBPJPY,14308,-0.058885079906105635,-0.0917251809451265,0.025761901325489712,-2.2857427781482382,0.4843444227005871,-1.523136679077263,-0.0917251809451265,1.4995881545277925
