year,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak
2014,18,1.6363636363636365,8,10,0.4444444444444444,0.30700675010373296,1.6389268875260532,1.7718985712541104,-0.8649067068165692,0.027727089412052708,0.027495032141824582,0.03415325670116731,3
2015,17,1.5454545454545454,5,12,0.29411764705882354,-0.005193946396514199,0.9921902434025744,2.243540086724113,-0.9421664601967753,0.03447935319051576,-0.0009015058304643331,-0.00103538662173841,7
2016,15,1.25,7,8,0.4666666666666667,0.2937896917113895,1.8152486140463628,1.4017669531679455,-0.6756904120630969,0.010974829853179213,0.0219774332935192,0.023146584724833552,3
2017,17,1.4166666666666667,8,9,0.47058823529411764,0.0830225372227068,1.1568203480873358,1.3014228915982469,-0.9999999999999954,0.014925124999999873,0.00676359259964987,0.006862566006134996,3
2018,16,1.2307692307692308,8,8,0.5,0.41229434162481204,1.8707451947501796,1.7715806255780588,-0.9469919423284349,0.019850499375000052,0.033066011275262985,0.0333677735246507,4
2019,12,1.5,5,7,0.4166666666666667,0.2735414172994746,1.8923543304998354,1.3921930369729576,-0.5254954538958704,0.006522200110622989,0.016324898564963997,0.02856475923557178,3
2020,18,1.5,9,9,0.5,0.6390727172528289,2.373832855440565,2.208495461762633,-0.9303500272569752,0.011406463319224791,0.058477338530251055,0.06372699980231888,2
2021,21,1.75,9,12,0.42857142857142855,0.08286679160311994,1.1810236347810545,1.261480720976781,-0.8010936554271259,0.0317576273404927,0.008370480751714648,0.008516825212183887,5
2022,27,3.0,10,17,0.37037037037037035,0.19836125096644908,1.4293039213742342,1.7831190196404365,-0.7338492011947199,0.01849419649262185,0.026500392219471314,0.03895245540447689,4
2023,21,1.75,9,12,0.42857142857142855,0.07737252954337973,1.1590080139295311,1.315924602537393,-0.8515415252021302,0.01813695667544657,0.007744430720397988,0.008106481566108714,5
2024,23,2.090909090909091,7,16,0.30434782608695654,-0.12545063737318776,0.7603807494310657,1.3080130469047166,-0.7525909992447709,0.016912508688120442,-0.01468031440314077,-0.017055842376638042,3
2025,22,1.8333333333333333,10,12,0.45454545454545453,0.2910866927596664,1.7555271666035133,1.48799853008856,-0.7063398383477448,0.01085398069842236,0.032082597496440934,0.035460530467446905,2
2026,20,2.5,11,9,0.55,0.22361431369879817,1.4969206971084426,1.224753297634175,-0.9999999999999957,0.01985049937499972,0.022191281962472553,0.034853192577155356,4
