pair,period,ambiguous_h1_stop_first_events,unclosed_at_data_end,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak
USDCHF,overlap_2013_to_2022_03_03,0,0,136,1.36,47,89,0.34558823529411764,0.004956273683931791,1.009919841948315,1.4600861542950552,-0.7634831014702571,0.056122890140416604,0.0008656745079145267,0.0001043815488175337,7
USDCHF,unseen_2022_03_04_to_2026_09_01,0,0,72,1.3584905660377358,27,45,0.375,0.10794400947601977,1.1967709379315772,1.750722673753539,-0.8777231890904923,0.03447935319051565,0.037820390441177576,0.008505095809578034,6
USDCHF,full_independent,0,0,208,1.3506493506493507,74,134,0.3557692307692308,0.04060587453503917,1.0786060056791695,1.56612920869207,-0.8018473099994405,0.06384591141104823,0.03871880509697734,0.002976814823745233,7
