year,trades,expectancy_r,profit_factor,win_rate,max_dd_pct,return_pct,cagr,trades_per_month,longest_loss_streak
2013,71,0.18725125528209993,1.399034929223283,0.36619718309859156,0.025271182472603737,0.06711197320823015,0.23593980732151976,14.2,6
2014,224,-0.04149690480386819,0.9177579314731433,0.35267857142857145,0.13432160073337818,-0.048919957145254545,-0.04895263012653106,17.23076923076923,14
2015,200,-0.20310623870873307,0.6230161797014534,0.29,0.19730415464350282,-0.1859803547652722,-0.1884194229032008,16.666666666666668,12
2016,192,-0.11755196000322234,0.7820438382775227,0.3229166666666667,0.1434734438360411,-0.1093867134033426,-0.11089005040331779,16.0,11
2017,181,0.03948123112166645,1.0793615788472484,0.36464088397790057,0.09657261066251888,0.03299684360564892,0.03339172579686589,15.083333333333334,11
2018,232,0.07982178766033222,1.1604553607897947,0.4051724137931034,0.07329295687263238,0.09221618073258675,0.09281351202783816,17.846153846153847,11
2019,177,-0.12283137923200083,0.7678300347393872,0.3333333333333333,0.11945103248974798,-0.1053403097203971,-0.10707237465653408,14.75,11
2020,240,0.07907379476924191,1.1740191225432408,0.4166666666666667,0.07706117024200221,0.09510133864940018,0.09655314593494801,20.0,10
2021,228,-0.09961077113680314,0.8030644309287648,0.34210526315789475,0.16062200007603467,-0.11029692487189913,-0.11152019346521391,19.0,13
2022,31,0.15945159028158232,1.3648851726204982,0.4838709677419355,0.04099793006784702,0.02443310511882224,0.16118286706114904,10.333333333333334,9
