year,trades,expectancy_r,profit_factor,win_rate,max_dd_pct,return_pct,cagr,trades_per_month,longest_loss_streak
2013,82,0.0468451994465294,1.094486032907059,0.3902439024390244,0.03617948551414174,0.017937406442978254,0.059692016741217824,16.4,7
2014,238,-0.028337868779004953,0.9420336795731588,0.3319327731092437,0.10091087285362155,-0.03683343801589045,-0.036858195643864944,18.307692307692307,11
2015,223,-0.155660307512642,0.7023787584698767,0.3004484304932735,0.20131610720996762,-0.161962571374219,-0.16287988884194415,18.583333333333332,10
2016,182,-0.046620896503449506,0.9037181900606003,0.36813186813186816,0.08334157315470458,-0.0441327048753174,-0.04476168418348336,15.166666666666666,7
2017,173,-0.10170997293934719,0.8058397769204034,0.3352601156069364,0.1048315537166632,-0.08662489517966321,-0.08736760114532083,14.416666666666666,8
2018,208,0.01987753850439805,1.0402633670291161,0.3942307692307692,0.09568531014863779,0.01729463887866145,0.017549052675136068,17.333333333333332,12
2019,183,-0.09306770921621804,0.8185879677050905,0.37158469945355194,0.10197456580744857,-0.0841035638746408,-0.08460216767602746,15.25,9
2020,232,0.05880032859518857,1.1319983379068006,0.41379310344827586,0.10337838737032601,0.06663637219551588,0.06612229962104554,17.846153846153847,8
2021,201,0.027441066278644725,1.0584923373257755,0.39303482587064675,0.0725779840265669,0.02461667316686067,0.0249801135508525,16.75,8
2022,41,0.11613071716874498,1.28994978200139,0.4146341463414634,0.031219305185761215,0.023434185540869956,0.15143588437577504,13.666666666666666,8
