year,trades,expectancy_r,profit_factor,win_rate,max_dd_pct,return_pct,cagr,trades_per_month,longest_loss_streak
2013,19,-0.24320220339682644,0.49062558786137395,0.3157894736842105,0.032599359117780224,-0.02300777633398743,-0.079226763154022,4.75,5
2014,53,0.05760463661526544,1.1306044994501936,0.4339622641509434,0.04012969292206747,0.014547194517648965,0.015142235220843014,4.416666666666667,6
2015,64,-0.19118673547207374,0.6791590744536335,0.328125,0.07035803577023159,-0.060284215212992986,-0.06335221551064307,5.333333333333333,12
2016,51,-0.24835697551261335,0.5322968908782992,0.2549019607843137,0.06873166725028101,-0.06195473325729817,-0.063859405917845,4.25,9
2017,47,-0.1529677828088191,0.7100877415939363,0.2765957446808511,0.06778985481867905,-0.03596193486070731,-0.036476697118174584,3.9166666666666665,7
2018,72,-0.08818174004209241,0.8241285530692919,0.3888888888888889,0.06232195856868761,-0.03222936597123016,-0.03269161033610024,6.0,6
2019,48,0.1042732195550885,1.230767949344573,0.3958333333333333,0.039644749507053434,0.024477044499791267,0.024630615054499705,4.0,6
2020,79,-0.34269737060929295,0.4528369159619277,0.22784810126582278,0.1498734174833033,-0.12753893918192472,-0.12927315778809179,6.076923076923077,15
2021,52,0.03197917090163966,1.0689086492906983,0.36538461538461536,0.03199601729474566,0.007521277029828077,0.007652718249002044,4.333333333333333,6
2022,13,-0.1881137314161917,0.6616578850140998,0.38461538461538464,0.014554943551812971,-0.01234453537262381,-0.08674309267219982,6.5,2
