family,pair,signal_dt,entry_dt,exit_dt,side,r,reason
range_mean_reversion,EURUSD,2017-05-22 20:00:00,2017-05-22 20:00:00,2017-05-24 12:00:00,-1,1.1873455149115917,TP
range_mean_reversion,EURUSD,2018-06-07 00:00:00,2018-06-07 00:00:00,2018-06-07 12:00:00,-1,-1.0123076240516138,SL
range_mean_reversion,EURUSD,2018-06-07 20:00:00,2018-06-07 20:00:00,2018-06-08 16:00:00,-1,0.8431377587342618,FRIDAY
range_mean_reversion,EURUSD,2018-06-15 08:00:00,2018-06-15 08:00:00,2018-06-15 16:00:00,1,0.327810525576486,FRIDAY
range_mean_reversion,EURUSD,2018-06-15 20:00:00,2018-06-15 20:00:00,2018-06-19 12:00:00,1,-1.010195066784141,SL
range_mean_reversion,EURUSD,2020-03-13 04:00:00,2020-03-13 04:00:00,2020-03-13 16:00:00,1,-0.21254274006988136,FRIDAY
range_mean_reversion,EURUSD,2020-03-14 00:00:00,2020-03-16 00:00:00,2020-03-16 04:00:00,1,-1.0062252379392527,SL
range_mean_reversion,EURUSD,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 16:00:00,1,-1.0063276992581387,SL
range_mean_reversion,EURUSD,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 16:00:00,1,-1.005697687227908,SL
range_mean_reversion,EURUSD,2020-03-20 04:00:00,2020-03-20 04:00:00,2020-03-20 16:00:00,1,0.003127735506981906,FRIDAY
range_mean_reversion,EURUSD,2020-03-21 00:00:00,2020-03-23 00:00:00,2020-03-24 12:00:00,1,1.1948749409903954,TP
range_mean_reversion,EURUSD,2020-03-27 12:00:00,2020-03-27 12:00:00,2020-03-27 16:00:00,-1,-0.01341136200404583,FRIDAY
range_mean_reversion,EURUSD,2020-03-30 04:00:00,2020-03-30 04:00:00,2020-03-31 12:00:00,-1,1.1935945188572146,TP
range_mean_reversion,EURUSD,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 16:00:00,1,-0.7170836317448651,FRIDAY
range_mean_reversion,EURUSD,2020-04-03 20:00:00,2020-04-03 20:00:00,2020-04-07 12:00:00,1,1.191222414826896,TP
range_mean_reversion,EURUSD,2020-06-13 00:00:00,2020-06-15 00:00:00,2020-06-16 00:00:00,1,1.1905103746882377,TP
range_mean_reversion,EURUSD,2020-06-19 00:00:00,2020-06-19 00:00:00,2020-06-19 16:00:00,1,0.18615122355672184,FRIDAY
