year,trades,expectancy_r,profit_factor,win_rate,max_dd_pct,return_pct,cagr,trades_per_month,longest_loss_streak
2013,8,-0.0014276026907000944,0.9971986776602271,0.5,0.010170755829530642,-0.00018850034313566688,-0.0019108453461694763,2.6666666666666665,2
2014,27,0.24834438842577491,1.5612013317908193,0.4074074074074074,0.026997726279761602,0.033506296370084954,0.038579728071202135,2.4545454545454546,5
2015,36,-0.1368619188039707,0.7311631921305329,0.25,0.0338118268793679,-0.024832515161088975,-0.024715579521574438,2.769230769230769,10
2016,23,-0.44060159949246847,0.20525498323785413,0.17391304347826086,0.04618217585951456,-0.04960399664873916,-0.05574013719186832,2.090909090909091,12
2017,24,0.3099283519216122,1.8278524316538773,0.4583333333333333,0.01606160062000561,0.03741804390108516,0.04309602625705922,2.1818181818181817,4
2018,28,-0.18745284947256888,0.6795197824288969,0.32142857142857145,0.03083793433502524,-0.02632742005157973,-0.03046268676561359,2.5454545454545454,6
2019,28,-0.2675663693611692,0.46702748185933074,0.2857142857142857,0.03528223531737362,-0.0370353433150975,-0.044329552889894264,2.5454545454545454,7
2020,40,-0.009238505200586212,0.9840210865961236,0.325,0.05541632352731529,-0.0026752641832986646,-0.002865241101244753,3.076923076923077,10
2021,26,-0.0867009940941693,0.8382304039209385,0.3076923076923077,0.023497146499693367,-0.011635304926564505,-0.012385380377076372,2.1666666666666665,8
2022,5,0.1328441271388497,1.3182907566438584,0.4,0.005094778044824166,0.003243853468611224,0.03079543134369045,2.5,2
