year,trades,expectancy_r,profit_factor,win_rate,max_dd_pct,return_pct,cagr,trades_per_month,longest_loss_streak
2013,10,-0.22644067120569292,0.5307261790429869,0.3,0.016465858178589254,-0.011336654335519114,-0.03888441193717285,2.5,5
2014,24,0.06441598538540287,1.1265934672630946,0.4583333333333333,0.03151927234123175,0.007336589117219017,0.007768883545941296,1.8461538461538463,6
2015,9,0.007109287116844578,1.0137122349233032,0.3333333333333333,0.011205361566781313,0.00016998023920811178,0.00021409190175614157,0.9,3
2016,17,0.045913848686775637,1.1078145201377636,0.47058823529411764,0.019200014770330398,0.0036800570602562033,0.00513402591227563,1.8888888888888888,3
2017,22,0.007155439763884209,1.0158225753454062,0.45454545454545453,0.030812048761188593,0.0004747912989544467,0.0005630687442572668,2.0,6
2018,16,-0.434865998269267,0.33821097596149824,0.1875,0.042889994993073555,-0.03436798126238949,-0.039988968208703124,1.4545454545454546,9
2019,2,-1.0308502996938098,0.0,0.0,0.005102235279446865,-0.010281939394115702,-0.0640812772546836,0.6666666666666666,2
2020,22,-0.17233339737501974,0.7033228668532754,0.36363636363636365,0.04093707777618705,-0.019096966554220662,-0.019161914429767002,1.8333333333333333,8
2021,25,0.016509815401702942,1.032181072995573,0.36,0.021149448728952747,0.0016413761990170528,0.0018620456863303048,2.272727272727273,5
2022,2,0.37885727248821266,1.7456031965856245,0.5,0.005081218458063641,0.0037435033782042826,0.08904112423884292,2.0,1
