split,trades,expectancy_r,profit_factor,win_rate,max_dd_pct,return_pct,cagr,trades_per_month,longest_loss_streak
development,94,-0.0890105127585042,0.8223694633642007,0.2978723404255319,0.08016480061765296,-0.0423317972980537,-0.013981980774462444,2.473684210526316,13
validation,80,-0.06627822101532463,0.8654908990325232,0.35,0.06876132413303282,-0.02730410080861012,-0.009990969304148445,2.3529411764705883,7
holdout,71,-0.027599231250388757,0.9499456718081899,0.323943661971831,0.0554163235273154,-0.011081908542868724,-0.005448541645751703,2.730769230769231,10
