scenario,trades,wins,losses,win_rate,avg_r,median_r,avg_win_r,avg_loss_r,profit_factor,max_dd_pct,longest_loss_streak,start_balance,end_balance,net_pnl,total_return_pct,cagr,avg_trades_per_month,mc_final_p05,mc_final_median,mc_final_p95,mc_dd_p50,mc_dd_p95,mc_prob_dd_gt_5pct,mc_prob_dd_gt_10pct,mc_prob_dd_gt_20pct
baseline_h4,464,178,286,0.38362068965517243,-0.04592058897724915,-1.0069057074788383,1.329320607940472,-0.9018399353106562,0.9173905112802235,0.22662516582083791,10,10000.0,8907.044476091598,-1092.955523908402,-0.10929555239084021,-0.013596804418949615,4.504854368932039,7042.594087708777,8866.759544644117,11312.243347774527,0.19782486264773774,0.3339492503816589,1.0,0.9534,0.4916
baseline_m30exec,464,178,286,0.38362068965517243,-0.04592058897724915,-1.0069057074788383,1.329320607940472,-0.9018399353106562,0.9173905112802235,0.22662516582083791,10,10000.0,8907.044476091598,-1092.955523908402,-0.10929555239084021,-0.013596804418949615,4.504854368932039,7042.594087708776,8866.75954464412,11312.243347774527,0.19782486264773766,0.3339492503816589,1.0,0.9534,0.4916
baseline_m15exec,464,178,286,0.38362068965517243,-0.04592058897724915,-1.0069057074788383,1.329320607940472,-0.9018399353106562,0.9173905112802235,0.226625165820838,10,10000.0,8907.0444760916,-1092.9555239084002,-0.10929555239083999,-0.013596804418949615,4.504854368932039,7042.594087708776,8866.759544644123,11312.243347774527,0.19782486264773766,0.3339492503816589,1.0,0.9534,0.4916
