year,trades,return_pct,sum_r,win_rate,avg_r
2013,22,-0.020517917017816023,-4.082868515650858,0.4090909090909091,-0.18558493252958447
2014,56,0.1008565226653777,19.49958253255908,0.5357142857142857,0.34820683093855503
2015,52,-0.02544979765375255,-4.948944650116479,0.38461538461538464,-0.09517201250223997
2016,43,0.030115381677959574,6.115907295873043,0.4883720930232558,0.14223040222960567
2017,53,-0.008053291701745735,-1.4226568220504179,0.37735849056603776,-0.02684258154812109
2018,59,-0.031013715196270053,-6.078810574669351,0.3050847457627119,-0.10303068770626019
2019,46,-0.04369205490386918,-8.762924789528132,0.2826086956521739,-0.190498364989742
2020,64,-0.06445570376875931,-13.108900515108548,0.375,-0.20482657054857106
2021,59,-0.05911392845540098,-11.943584455958536,0.3050847457627119,-0.20243363484675486
2022,10,0.01697713183630256,3.4260472092066023,0.5,0.34260472092066024
