pair,trades,wins,losses,win_rate,avg_r,median_r,avg_win_r,avg_loss_r,profit_factor,max_dd_pct,longest_loss_streak,start_balance,end_balance,net_pnl,total_return_pct,cagr,avg_trades_per_month
EURUSD,174,54,120,0.3103448275862069,-0.2207127486640408,-1.0113704590530952,1.2743950345228001,-0.8935112510981195,0.6418248956915312,0.20508196809292997,9,10000.0,8227.478895727734,-1772.5211042722658,-0.17725211042722655,-0.022812918199710097,1.6893203883495145
GBPUSD,139,52,87,0.37410071942446044,-0.060451019882035245,-1.009185545098724,1.3751945157086272,-0.9185380066718565,0.8948517500115133,0.049704930932910944,6,10000.0,9561.449213837206,-438.5507861627939,-0.04385507861627935,-0.005485211044683136,1.4183673469387754
USDJPY,151,72,79,0.4768211920529801,0.16887123672650603,-0.1396697552142629,1.3373836323933919,-0.8961020859066051,1.3602036022336967,0.05258068601395426,6,10000.0,11322.520648189367,1322.5206481893674,0.1322520648189367,0.015070292556916831,1.495049504950495
