month,trades,return_pct,sum_r,win_rate,avg_r
2013-09,1,-0.0023179383613346483,-0.46358767226693814,0.0,-0.46358767226693814
2013-10,5,-0.012947925515434444,-2.5982775843312242,0.4,-0.5196555168662449
2013-11,10,-0.009648747300711191,-1.92541160628597,0.5,-0.192541160628597
2013-12,6,0.004326707100613225,0.9044083472332729,0.3333333333333333,0.15073472453887882
2014-01,2,-0.01012280174004554,-2.029709991062358,0.0,-1.014854995531179
2014-02,4,0.00796497594116996,1.6051295962585077,0.5,0.4012823990646269
2014-03,2,-0.007172160148847473,-1.4365638326293857,0.0,-0.7182819163146928
2014-04,2,0.00113522947827005,0.22778041878151067,0.5,0.11389020939075534
2014-05,4,-0.02026644324422633,-4.084462629167875,0.0,-1.0211156572919688
2014-06,3,-0.006060260638383608,-1.2130163962697513,0.3333333333333333,-0.4043387987565838
2014-07,4,0.014417757133648568,2.8984114785794866,0.5,0.7246028696448716
2014-08,5,0.023216565941796663,4.624311735777393,0.8,0.9248623471554787
2014-09,8,0.03099655643182797,6.166044625190372,0.625,0.7707555781487965
2014-10,7,0.03693510622435148,7.297447841827529,0.8571428571428571,1.042492548832504
2014-11,5,0.034656999870584126,6.863024660232833,0.8,1.3726049320465665
2014-12,10,-0.007159167526291643,-1.4188149749591816,0.5,-0.14188149749591816
2015-01,4,-0.006877796608898534,-1.3740521635407894,0.25,-0.34351304088519735
2015-02,3,-0.01003371305866163,-2.0117412477774517,0.3333333333333333,-0.6705804159258172
2015-03,7,0.03610876638123872,7.148296989216158,0.7142857142857143,1.0211852841737368
2015-04,7,-0.0056179649543316446,-1.1039193990523737,0.42857142857142855,-0.15770277129319624
2015-05,3,0.01372556881204079,2.7483194800145134,0.6666666666666666,0.9161064933381712
2015-06,2,-0.010125065349174345,-2.030165029551264,0.0,-1.015082514775632
2015-07,6,-0.014442748198814304,-2.8975684684417224,0.3333333333333333,-0.4829280780736204
2015-08,3,-0.015109125151702374,-3.037173105860349,0.0,-1.012391035286783
2015-09,2,-0.0004903837312136838,-0.0934254878194325,0.5,-0.04671274390971625
2015-10,1,-0.005058762256337723,-1.0117524512675438,0.0,-1.0117524512675438
2015-11,10,0.004895021338287675,1.032274907175423,0.4,0.1032274907175423
2015-12,4,-0.01156822294229265,-2.3180386732116474,0.25,-0.5795096683029118
2016-01,4,-0.002851460427101493,-0.5480601911615453,0.25,-0.1370150477903863
2016-02,2,0.017377593659506863,3.4634223903054244,1.0,1.7317111951527122
2016-03,4,-0.003342353928778463,-0.6618249247059246,0.5,-0.16545623117648114
2016-04,7,0.01976568641230081,3.936353701584652,0.8571428571428571,0.5623362430835217
2016-05,1,-0.00504789976181752,-1.0095799523634956,0.0,-1.0095799523634956
2016-06,4,0.0009505401141967074,0.2106634970314039,0.25,0.05266587425785098
2016-07,4,0.021576448561063666,4.3029534552282085,0.75,1.0757383638070521
2016-08,5,-0.019305874147719004,-3.8885979370032655,0.2,-0.7777195874006531
2016-09,3,-0.015130550782126329,-3.0415019603359834,0.0,-1.0138339867786612
2016-10,3,0.010716536225375162,2.151012772042135,0.6666666666666666,0.7170042573473783
2016-11,2,0.008506859776353792,1.702276214027226,0.5,0.851138107013613
2016-12,4,-0.0025495801847913446,-0.5012097687757922,0.5,-0.12530244219394804
2017-01,3,-0.009303381048923476,-1.8641970670738446,0.3333333333333333,-0.6213990223579482
2017-02,2,-0.010134956605148182,-2.0321533801575473,0.0,-1.0160766900787737
2017-03,5,-0.0035655923875623774,-0.7087236958829309,0.4,-0.1417447391765862
2017-05,2,-0.0031333232952338586,-0.6266164837317757,0.5,-0.31330824186588785
2017-06,5,-0.0019067876602595346,-0.358588115861749,0.4,-0.0717176231723498
2017-07,8,-0.013664580431746898,-2.722107436164412,0.25,-0.3402634295205515
2017-08,3,-0.0035475695611016933,-0.7059675896935876,0.3333333333333333,-0.23532252989786254
2017-09,7,0.024675337874050518,4.92682060416883,0.42857142857142855,0.7038315148812614
2017-10,5,-0.00549720901460804,-1.0890183930362025,0.2,-0.2178036786072405
2017-11,4,-0.007387598748942015,-1.4690347141339706,0.25,-0.36725867853349264
2017-12,9,0.026269894817326778,5.226929449516772,0.6666666666666666,0.5807699388351969
2018-01,7,0.023691715059027896,4.737106071256304,0.5714285714285714,0.6767294387509005
2018-02,7,0.007130436117111172,1.4587734801570287,0.2857142857142857,0.2083962114510041
2018-03,4,-0.0023257181378479874,-0.4600232581288317,0.5,-0.11500581453220793
2018-04,2,0.007283910872404986,1.4693869531292498,0.5,0.7346934765646249
2018-06,4,-0.015051354432557673,-3.0254281161071575,0.25,-0.7563570290267894
2018-07,7,-0.017761824123093573,-3.5738775520798365,0.14285714285714285,-0.5105539360114052
