pair,period,ambiguous_h1_stop_first_events,unclosed_at_data_end,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak,decision,unseen_trades,unseen_expectancy_r,unseen_profit_factor,unseen_max_dd_pct,final_p05,final_p50,final_p95,dd_p50,dd_p95,prob_dd_gt_5pct,prob_dd_gt_10pct
GBPJPY,full_independent,0,0,269,1.735483870967742,109,160,0.4052044609665427,0.1159523592513059,1.2442299632123424,1.4578306717620828,-0.7982022411466607,0.0832370353412218,0.1622272045142079,0.0117466821181126,7,REJECTED,103,-0.024784615281027,0.9518384972197248,0.0832370353412215,0.9783888210108778,1.1590032657583558,1.3841644837324352,0.069026133385543,0.1246209229401356,0.8368,0.1434
GBPUSD,full_independent,0,0,234,1.5096774193548388,90,144,0.3846153846153846,0.1041864484927303,1.1974075701538902,1.6430953954400909,-0.8576316433493699,0.0688712816473241,0.1235512611491926,0.0091097845978118,7,REJECTED,74,0.1929836520888927,1.3929694885001993,0.024830281791607,0.9420221285477998,1.1181544821105618,1.3400716945058673,0.0743911606812386,0.1385413575276628,0.8828,0.2188
CHFJPY,full_independent,0,0,285,1.875,120,165,0.4210526315789473,0.0903044829795314,1.1895748347226502,1.345810792129137,-0.8227910145838178,0.0563649863985608,0.1311272634293656,0.0098015541987974,6,REJECTED,123,0.0630099092678526,1.1281994205924573,0.0563649863985603,0.9524930581045176,1.131137073697858,1.3582262948239665,0.0742748268833961,0.1369646856915846,0.8788,0.2118
CADJPY,full_independent,0,0,239,1.5419354838709678,90,149,0.3765690376569037,0.0900442937879839,1.1749943993556793,1.6055477817807975,-0.825360497617071,0.0588203372453325,0.1077864782523587,0.0079986640022431,9,REJECTED,104,0.0310932504099344,1.060462022704535,0.0585097809903213,0.932327191958054,1.1075395314085277,1.324711295709384,0.0786231122585018,0.1467683443877733,0.9054,0.2666
EURAUD,full_independent,0,0,226,1.4675324675324677,90,136,0.3982300884955752,0.0816678590522544,1.1628000481032972,1.4647638477197291,-0.8336162510953387,0.0871631989842122,0.0913970215394346,0.0068740945057552,7,REJECTED,83,0.0645989342958957,1.1242184009933955,0.043711800666936,0.9237799943955932,1.0886300867687004,1.294591025399492,0.0750897389039008,0.1457536917746406,0.8768,0.2518
EURJPY,full_independent,0,0,265,1.7207792207792207,107,158,0.4037735849056604,0.0801586478232636,1.1669134942727584,1.3879048451588474,-0.8054669415115936,0.0702995308448617,0.1062217122062381,0.0079301891322425,6,REJECTED,111,0.0534560476361834,1.1082332617049735,0.0478834371352855,0.93654609192203,1.1046809219717106,1.312537278455888,0.0754611363438582,0.1416569113681903,0.8888,0.2308
USDCHF,full_independent,0,0,208,1.3506493506493509,74,134,0.3557692307692308,0.0406058745350391,1.0786060056791695,1.56612920869207,-0.8018473099994405,0.0638459114110482,0.0387188050969773,0.0029768148237452,7,REJECTED,72,0.1079440094760197,1.1967709379315772,0.0344793531905156,0.8957922414802425,1.0419021621359397,1.2183001508982856,0.0822167261324631,0.1539042250777409,0.9058,0.313
GBPAUD,full_independent,0,0,232,1.5064935064935066,88,144,0.3793103448275862,0.0067052061851271,1.0134772173045965,1.3293251122768257,-0.8015625142042442,0.0791529839482989,0.0034803193653414,0.0002717670503578,14,REJECTED,89,0.0273475859271263,1.055805846947571,0.074973708039239,0.8620562758559979,1.0015767881724484,1.1765645039632904,0.0959398424790966,0.1770201783665682,0.9506,0.4582
USDCAD,full_independent,0,0,217,1.4090909090909092,71,146,0.3271889400921659,-0.0454139692028331,0.9176379117186512,1.5464463026667723,-0.8195378000435317,0.1277218088351189,-0.0522327364720928,-0.0042149151281886,9,REJECTED,66,0.0308767454568212,1.0584390473992131,0.0510091831854833,0.8166637911354723,0.945458273592676,1.108373778626866,0.1189429925803896,0.2122086072742143,0.9866,0.6586
AUDUSD,full_independent,0,0,230,1.4935064935064934,78,152,0.3391304347826087,-0.0625505885629569,0.8889687067207653,1.4767456786451003,-0.8524526204197234,0.1336371422257721,-0.073629108591853,-0.0059727708162488,13,REJECTED,72,-0.0848522540499245,0.8539226028334955,0.08966908099608,0.7882144818082527,0.9255050662705536,1.0941346623615351,0.1365658960412653,0.2386164152258777,0.9948,0.7736
EURUSD,full_independent,1,0,241,1.5649350649350648,83,158,0.3443983402489626,-0.0787833771077744,0.8605748563962109,1.4119557813828172,-0.8618931882135913,0.1825058525673354,-0.0947542526791632,-0.0077689373209116,11,REJECTED,66,0.2987584519708855,1.737749499674735,0.0195809070460236,0.7760063607150772,0.9030034957465738,1.057510619188848,0.1476791512736728,0.2473233608871601,0.997,0.8144
NZDUSD,full_independent,0,0,219,1.431372549019608,75,144,0.3424657534246575,-0.0872930900135368,0.8398048412331488,1.3362622670906708,-0.828728171838645,0.1484177958763571,-0.0946701967745135,-0.0078084343970913,15,REJECTED,59,-0.1139809762428474,0.7868237845197492,0.0863957809576906,0.7877020436642644,0.9040060568563888,1.0425937549388773,0.138206564065661,0.2303534743364297,0.9936,0.7792
EURGBP,full_independent,0,0,220,1.4285714285714286,65,155,0.2954545454545454,-0.1775919743519967,0.7076650001956213,1.4550555104826697,-0.8622505970245987,0.1882021533817202,-0.1807564933442308,-0.0155219517208475,14,REJECTED,64,-0.3063514528071676,0.5286184824820958,0.1011165252531662,0.7099053371188505,0.8183961258567494,0.9493198664209992,0.2056509942243354,0.302680094103355,0.9996,0.9658
AUDJPY,full_independent,0,0,247,1.625,106,141,0.4291497975708502,0.1997982861578981,1.4261204685373887,1.5581406713697588,-0.8213669112354159,0.0370009929034058,0.2727774826585549,0.0193364985152793,7,SURVIVED,107,0.1823862071685622,1.4094048051878894,0.0288495997012722,1.0764523788381677,1.268328000719935,1.5090623689840033,0.0532251612668948,0.094285593918598,0.5766,0.0354
USDJPY,full_independent,0,0,248,1.6209150326797386,109,139,0.439516129032258,0.1832567933206613,1.4033917797512678,1.4505648522924988,-0.8105315406932253,0.0522136721978014,0.248315890024112,0.0176201784516212,6,SURVIVED,100,0.2020642831822495,1.467648622441854,0.0522136721978012,1.0401737689329091,1.244846870501102,1.483761207131871,0.059332387667928,0.1075943721714969,0.698,0.0754
