holding_hours_quartile,trades,win_rate,expectancy_r,profit_factor,max_dd_pct,total_return_pct,cagr,trades_per_month,longest_loss_streak
"(41.0, 152.0]",116,0.6120689655172413,0.5131026430665981,2.4815559320374603,0.024719539569526883,0.3424960997679254,0.03627590641526779,1.1485148514851484,5
"(24.0, 41.0]",84,0.4880952380952381,0.058806749982841605,1.130871745592208,0.09376015432419615,0.02353152686165383,0.0027864900959087002,0.8316831683168316,7
"(4.0, 24.0]",141,0.3049645390070922,-0.1652231831991609,0.7435427340805519,0.15185962566127642,-0.11259810365784162,-0.014089004521326776,1.3823529411764706,9
"(-0.001, 4.0]",123,0.18699186991869918,-0.50788908982639,0.2994054245560581,0.2745827061351763,-0.2695356731956937,-0.03697269576844242,1.2178217821782178,24
