split,start_year,end_year,trades,win_rate,expectancy_r,profit_factor,max_dd_pct,total_return_pct,cagr,trades_per_month,longest_loss_streak
development,2013,2016,52,0.6153846153846154,0.5385682488447183,2.500279483147093,0.020047156059324056,0.14845920280021097,0.045757918412865806,1.368421052631579,3
validation,2017,2019,37,0.40540540540540543,-0.0685595993063486,0.848734662872901,0.048937413319353196,-0.013118807154104073,-0.005184093830984393,1.15625,5
holdout,2020,2022,47,0.40425531914893614,0.0736432582606838,1.1288823247338209,0.043870651269921956,0.016186196723609658,0.007547147489153971,1.7407407407407407,5
