entry_checkpoint_utc,trades,win_rate,expectancy_r,profit_factor,max_dd_pct,total_return_pct,cagr,trades_per_month,longest_loss_streak
12,203,0.4088669950738916,0.049739154121134714,1.1009501603128171,0.08546938698733086,0.04762762901317874,0.005518548204305862,1.970873786407767,10
8,140,0.42142857142857143,0.044988769470236896,1.083055916483601,0.07069168665755965,0.02880866215371536,0.00340251604093722,1.386138613861386,7
16,121,0.2975206611570248,-0.3115919776683232,0.5406180398930549,0.19889683815529824,-0.17359665725397055,-0.022538545007277366,1.198019801980198,10
