year,trades,win_rate,expectancy_r,profit_factor,max_dd_pct,total_return_pct,cagr,trades_per_month,longest_loss_streak
2013,6,0.5,-0.3077067487935105,0.39327991832837494,0.008598425774716367,-0.009234407336356276,-0.14901340833458132,3.0,1
2014,18,0.7777777777777778,0.9113373961771379,6.20042440996192,0.005067036020866111,0.0848959665251201,0.11699233159033517,2.0,1
2015,14,0.2857142857142857,-0.30693386031676567,0.5759862614809453,0.0200831773184571,-0.021511336584740248,-0.02474471287101976,1.1666666666666667,5
2016,14,0.7857142857142857,0.7701893906149725,5.814712278826513,0.005041320327329957,0.055017195344256864,0.06491971951670616,1.2727272727272727,1
2017,14,0.5714285714285714,0.2732382692024761,2.0187605024443673,0.007801440707111862,0.019119493984470992,0.021248357311772548,1.1666666666666667,2
2018,15,0.4,-0.07716796538925842,0.8002465846218635,0.020109299006853654,-0.005921752713171635,-0.007110617867102875,1.3636363636363635,5
2019,8,0.125,-0.6637428701818249,0.08252587994620034,0.023407739815452855,-0.026270438480920477,-0.04888611591337033,1.0,5
2020,20,0.45,0.14886525853143034,1.2922395527118653,0.02495908334971597,0.014521090615293941,0.014817331089183705,1.5384615384615385,4
2021,21,0.38095238095238093,0.09199462736065121,1.1652502426064926,0.017627110175604255,0.009195840757066032,0.009766663065683634,1.75,5
2022,5,0.4,-0.3033536930673718,0.43197947793775326,0.005078720457261432,-0.007601776480780087,-0.046141491259245715,1.6666666666666667,1
