year,trades,win_rate,expectancy_r,profit_factor,max_dd_pct,total_return_pct,cagr,trades_per_month,longest_loss_streak
2014,56,0.5357142857142857,0.348206830938555,1.8660470689040063,0.037153306586709456,0.10085652266537881,0.10180661194454932,4.666666666666667,7
2022,10,0.5,0.34260472092066024,1.7118448447259382,0.010125951250336107,0.016977131836302783,0.10791604707473712,3.3333333333333335,2
2016,43,0.4883720930232558,0.14223040222960567,1.2968423377216571,0.03742448743160964,0.030115381677959796,0.03073453875626031,3.5833333333333335,7
2017,53,0.37735849056603776,-0.026842581548121074,0.9486815410601169,0.04343789395963249,-0.008053291701745291,-0.008170254463486848,4.416666666666667,6
2015,52,0.38461538461538464,-0.09517201250224001,0.8406540899295739,0.05571261820943574,-0.02544979765375277,-0.026543835459953646,4.333333333333333,5
2018,59,0.3050847457627119,-0.10303068770626021,0.8151232284732248,0.07324571659762025,-0.031013715196269942,-0.03271066393840538,4.916666666666667,10
2020,66,0.3787878787878788,-0.17648355541164776,0.7017955851825972,0.1014121448218347,-0.057680079360935554,-0.05881314459326625,5.076923076923077,5
2013,22,0.4090909090909091,-0.18558493252958452,0.655993181461719,0.042176703974842744,-0.020517917017816245,-0.07363416963246128,5.5,5
2019,46,0.2826086956521739,-0.1904983649897419,0.6948130146143139,0.06915196569476323,-0.04369205490386929,-0.04645945520539507,3.8333333333333335,7
2021,57,0.2982456140350877,-0.23516790024383047,0.6535580127210955,0.07207092483314059,-0.06587924296452796,-0.06698687123611946,4.75,6
