pair,trades,win_rate,expectancy_r,profit_factor,max_dd_pct,total_return_pct,cagr,trades_per_month,longest_loss_streak
USDJPY,151,0.4768211920529801,0.16887123672650603,1.3602036022336967,0.05258068601395416,0.1322520648189378,0.015070292556916831,1.495049504950495,6
GBPUSD,139,0.37410071942446044,-0.06045101988203526,0.8948517500115133,0.049704930932910396,-0.04385507861627902,-0.005485211044683136,1.4183673469387754,6
EURUSD,174,0.3103448275862069,-0.22071274866404078,0.6418248956915312,0.20508196809293033,-0.177252110427227,-0.022812918199710208,1.6893203883495145,9
