rule,dev_trades,dev_win_rate,dev_expectancy_r,dev_profit_factor,dev_max_dd_pct,dev_total_return_pct,dev_cagr,dev_trades_per_month,dev_longest_loss_streak,all_trades,all_win_rate,all_expectancy_r,all_profit_factor,all_max_dd_pct,all_total_return_pct,all_cagr,all_trades_per_month,all_longest_loss_streak,validation_expectancy_r,holdout_expectancy_r
USDJPY short only,13,0.7692307692307693,0.8406966764719793,5.7886987436702855,0.005062299788513913,0.055782672895973606,0.10998965823907025,1.8571428571428572,1,53,0.4716981132075472,0.15442693314670566,1.3216899290526283,0.04980318568347353,0.04056244839180123,0.008064894494631769,0.8833333333333333,7,-0.08681230518591124,-0.05515739779129746
USDJPY middle ATR regime,26,0.6538461538461539,0.45167678423679314,2.2875134098833563,0.026991689521942863,0.059817972543438014,0.018956182875881966,0.6842105263157895,5,70,0.4714285714285714,0.14859298799157095,1.3130972531516971,0.03711060547893752,0.05183685483483935,0.006104615141594438,0.693069306930693,6,-0.27702512817675073,0.14016788755518678
USDJPY only,60,0.6,0.41657960677175226,2.099684655999276,0.02500979480258092,0.13142927122359094,0.04028383257062629,1.5789473684210527,3,151,0.4768211920529801,0.16887123672650603,1.3602036022336967,0.05258068601395416,0.1322520648189378,0.015070292556916831,1.495049504950495,6,-0.09769659484459388,0.07957077251871406
USDJPY breakout >=0.10 ATR,50,0.6,0.38705452654970257,1.9968592034938386,0.02169505883948264,0.10026593829258079,0.03103248689975424,1.3157894736842106,4,125,0.472,0.18413701388717693,1.387945557209232,0.050121097651270596,0.11881784816029439,0.01370783693277211,1.25,9,-0.10310635239529559,0.1446627093016427
USDJPY slope >=0.10 ATR,55,0.5818181818181818,0.38414001798864683,1.9727105349749319,0.028042386803533992,0.10989184437281696,0.03390890926913648,1.4473684210526316,5,136,0.4632352941176471,0.15315737359088785,1.3118303257146124,0.05499929510644974,0.1063785088111,0.012248451167539809,1.3465346534653466,7,-0.14748073129298564,0.09517845732611874
USDJPY trend separation >=1 ATR,59,0.5932203389830508,0.3813860997856442,1.9900013375816046,0.02500979480258092,0.11749965744390112,0.03617030139408306,1.5526315789473684,3,142,0.47183098591549294,0.1601169431690302,1.3407810816779022,0.051139437204803184,0.11693637800448298,0.013406860051721203,1.4059405940594059,6,-0.14971440405145509,0.10350802752694604
USDJPY long only,47,0.5531914893617021,0.2992706300461574,1.6879185800451888,0.03365015287191875,0.07164978197655114,0.022379002789805202,1.236842105263158,4,98,0.47959183673469385,0.17668295192782657,1.3818110864467206,0.04598245271526713,0.08811543850044057,0.010221472532258913,0.9702970297029703,6,-0.10650768647305126,0.18286236975638956
all pairs strong separation >=1.5 ATR,162,0.46296296296296297,0.09770909679527458,1.1957205404499793,0.05524403522964283,0.07860991536551665,0.02337913805706826,4.05,7,432,0.3773148148148148,-0.052861230172033286,0.9054658483774884,0.23021132305946312,-0.11557191441214953,-0.014421502147940912,4.194174757281553,10,-0.14023861327888063,-0.14659178415074645
