entry_weekday,trades,win_rate,expectancy_r,profit_factor,max_dd_pct,total_return_pct,cagr,trades_per_month,longest_loss_streak
Friday,62,0.45161290322580644,0.06136216927630234,1.2278254720390787,0.030463942152683,0.01873518533678631,0.002297731661378366,0.6326530612244898,10
Wednesday,90,0.4222222222222222,0.03367390933024475,1.061255458149348,0.06465947791277615,0.013241678384573019,0.0015817697764684002,0.8910891089108911,10
Thursday,108,0.4166666666666667,-0.048450225554459124,0.9040915447250123,0.1069682907451418,-0.027525021544572703,-0.0032969399814444245,1.0485436893203883,8
Monday,85,0.3176470588235294,-0.08942696926136519,0.8710578062311461,0.07843920971754048,-0.039416924300963774,-0.004845516984716358,0.85,16
Tuesday,119,0.33613445378151263,-0.12864153674956927,0.8043460215939956,0.10292518907778359,-0.07626818321485962,-0.009443197632953981,1.1782178217821782,10
