year,trades,win_rate,expectancy_r,profit_factor,max_dd_pct,total_return_pct,cagr,trades_per_month,longest_loss_streak
2013,6,0.5,-0.275657873592427,0.4577488674476957,0.008369039191408523,-0.00828418727413971,-0.13470589054865512,3.0,1
2014,18,0.7777777777777778,1.1141528881325866,7.306326154648512,0.0050782086910106106,0.10464978095808841,0.1446973192366996,2.0,1
2015,14,0.35714285714285715,-0.15995742027716942,0.7551155152803123,0.01540290338410022,-0.011433054397166353,-0.013161759735470402,1.1666666666666667,3
2016,14,0.7142857142857143,0.8460105770695512,4.5979653409023715,0.010084951299591083,0.06046817167873941,0.0713845456520601,1.2727272727272727,2
2017,14,0.5714285714285714,0.30727407987116717,2.1085187856800918,0.00826831246134907,0.021496677698886302,0.02389331727087951,1.1666666666666667,2
2018,15,0.4,-0.04002929295413488,0.9014682237050827,0.020155317154912256,-0.0031910733270167357,-0.0038327780558780056,1.3636363636363635,5
2019,8,0.125,-0.7797628622774021,0.08200160875149123,0.027468291088283303,-0.030794219654913357,-0.05718830552537324,1.0,5
2020,21,0.42857142857142855,0.022884088820384688,1.0391723363136607,0.03415243283915059,0.001870529157782741,0.0019031250485350704,1.6153846153846154,5
2021,21,0.38095238095238093,0.21050166842869386,1.3744378982126004,0.018077192958576904,0.021673337124357372,0.02302747111138337,1.75,5
2022,5,0.4,-0.28797355279570247,0.4824310109384358,0.00509184053347167,-0.007227748017418767,-0.0439137452513213,1.6666666666666667,1
