pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf,holding_hours,entry_checkpoint_utc,weekday,trend_sep_atr,ema_slope_atr,breakout_atr,candle_atr,atr_pct_252,year,entry_weekday,friday_outcome,no_chase_displacement_atr
EURUSD,2013-09-19 12:00:00,2013-09-19 12:00:00,2013-09-20 16:00:00,1,135510.5,135504.0,134982.01312544194,136831.71718639514,135265.5,FRIDAY,-0.4635876722669381,352.3245830387061,h4,28.0,12,Thursday,2.640990135064904,0.6762993554927249,0.2526079765209643,1.2800696338309536,0.8214285714285714,2013,Thursday,FRIDAY_LOSS,0.018448897161643458
EURUSD,2013-10-14 16:00:00,2013-10-14 16:00:00,2013-10-15 08:00:00,1,135846.5,135841.0,135420.1680229076,136912.32994273095,135413.6680229076,SL,-1.0152463346623524,284.2213180615908,h4,16.0,16,Monday,6.126046333881416,1.1805591637649373,0.09851477781808188,1.467166512505005,0.2896825396825397,2013,Monday,NOT_FRIDAY,0.01935111707140894
EURUSD,2013-10-17 16:00:00,2013-10-17 16:00:00,2013-10-18 16:00:00,1,136762.5,136755.0,136218.7015329603,138121.99616759925,136772.5,FRIDAY,0.0183891654833772,362.53231135980377,h4,24.0,16,Thursday,4.993698041730368,0.7654801745823973,1.0481824325525015,1.7046756403090684,0.9444444444444444,2013,Thursday,FRIDAY_WIN,0.02068781116879937
EURUSD,2013-10-24 08:00:00,2013-10-24 08:00:00,2013-10-24 08:00:00,1,138071.5,138063.0,137676.10822216177,139059.9794445956,137669.60822216177,SL,-1.0164393909138072,263.59451855882867,h4,0.0,8,Thursday,8.090249034681474,2.12570017839621,0.5159439609881254,0.9863634548302398,0.21428571428571427,2013,Thursday,NOT_FRIDAY,0.03224649756175784
EURUSD,2013-11-27 08:00:00,2013-11-27 08:00:00,2013-11-29 16:00:00,1,135809.5,135805.0,135380.23385817994,136882.66535455012,135986.5,FRIDAY,0.4123316114556242,286.17742788003375,h4,56.0,8,Wednesday,6.616739168819589,0.07775816701318479,0.2026714700375102,1.3033872124826087,0.2619047619047619,2013,Wednesday,FRIDAY_WIN,0.01572451060635855
EURUSD,2013-12-05 08:00:00,2013-12-05 08:00:00,2013-12-05 12:00:00,1,136260.5,136255.0,135803.85687183897,137402.1078204026,135797.35687183897,SL,-1.0142343103380589,304.4287521073609,h4,4.0,8,Thursday,6.250448213308816,0.44538147453458554,0.33833860726688414,1.8493653970024833,0.3492063492063492,2013,Thursday,NOT_FRIDAY,0.018066624659882163
EURUSD,2013-12-10 16:00:00,2013-12-10 16:00:00,2013-12-12 16:00:00,1,137834.5,137827.0,137401.02790216412,138918.1802445897,137394.52790216412,SL,-1.0149951981510643,288.9813985572502,h4,48.0,16,Tuesday,6.9234292242407705,0.9193876541746255,0.5398271334377766,1.778661196070623,0.19444444444444445,2013,Tuesday,NOT_FRIDAY,0.025953227569123875
EURUSD,2013-12-27 08:00:00,2013-12-27 08:00:00,2013-12-27 12:00:00,1,137639.5,137631.0,137258.72069763817,138591.44825590457,138584.94825590457,TP,2.4829297444486214,253.85286824121704,h4,4.0,8,Friday,8.800562068017323,0.6210391805550383,1.54026228936859,1.7687410944411686,0.01984126984126984,2013,Friday,NOT_FRIDAY,0.03348396281236065
EURUSD,2014-02-14 12:00:00,2014-02-14 12:00:00,2014-02-14 16:00:00,1,136954.5,136949.0,136534.69765617998,138004.0058595501,136852.5,FRIDAY,-0.2429714876573611,279.86822921335414,h4,4.0,12,Friday,5.680346356392129,0.19466456595395745,0.11791263371607233,1.2648809798633214,0.20238095238095238,2014,Friday,FRIDAY_LOSS,0.019652105619345387
EURUSD,2014-02-18 12:00:00,2014-02-18 12:00:00,2014-02-20 08:00:00,1,137265.5,137259.0,136930.68177965176,138102.5455508706,136924.18177965176,SL,-1.019413519351608,223.21214689882757,h4,44.0,12,Tuesday,7.198165106442582,0.42882589571277946,0.08512081561856884,1.1020905601141018,0.003968253968253968,2014,Tuesday,NOT_FRIDAY,0.029120279027405122
