reason,trades,win_rate,expectancy_r,profit_factor,max_dd_pct,total_return_pct,cagr,trades_per_month,longest_loss_streak
TP,66,1.0,2.481995473214316,,0.0,1.2569579817357237,0.1045868851497247,0.66,0
FRIDAY,153,0.6535947712418301,0.33681046159147554,3.445273205511998,0.02173464863571184,0.29241651201958296,0.031164127907592487,1.5148514851485149,7
BE,12,1.0,0.01676985989013789,,0.0,0.0010066512701805141,0.00013531638495156706,0.13186813186813187,0
SL,233,0.0,-1.0165325899560766,0.0,0.6933953823012169,-0.69495024118827,-0.13153304445072989,2.284313725490196,233
