year,trades,win_rate,expectancy_r,profit_factor,max_dd_pct,total_return_pct,cagr,trades_per_month,longest_loss_streak
2013,6,0.5,-0.275657873592427,0.4577488674476957,0.008369039191408523,-0.00828418727413971,-0.13470589054865512,3.0,1
2014,20,0.8,1.1094347926394101,7.977356443448666,0.0050782086910103885,0.11653229060044734,0.1614484924184616,2.2222222222222223,1
2015,18,0.3333333333333333,-0.2607804537178973,0.6148803970128888,0.02500979480258092,-0.023527032588210317,-0.027059176607544755,1.5,3
2016,16,0.6875,0.5721297476246027,3.1237958590197237,0.013879432453728802,0.04642633240291527,0.05265643594153335,1.4545454545454546,2
2017,14,0.5714285714285714,0.3136129940214758,2.1313869866665747,0.00826831246134907,0.02197682391217537,0.02442763160986705,1.1666666666666667,2
2018,15,0.4,-0.05623412704403042,0.8615801575013827,0.018898174510919463,-0.004370640667020864,-0.005248923689070928,1.3636363636363635,5
2019,9,0.1111111111111111,-0.8066156238594193,0.0712862429327431,0.03243519392823202,-0.03574413635046014,-0.06623344126131314,1.125,6
2020,24,0.4583333333333333,0.1374668702524911,1.252117453333139,0.03810352065227807,0.0160290600133699,0.01635631136958615,1.8461538461538463,5
2021,24,0.3333333333333333,0.04977496274867091,1.0829368618019224,0.020840131628244274,0.005371476325123359,0.005704234535367947,2.0,6
2022,5,0.4,-0.05531060970720887,0.9005913700316509,0.00509184053347167,-0.0014909817155045468,-0.009194544793678316,1.6666666666666667,1
