stage,variable,value,trades,win_rate,expectancy_r,profit_factor,max_dd_pct,total_return_pct,cagr,trades_per_month,longest_loss_streak
one_factor,breakout_lookback,10,196,0.45408163265306123,0.14504811474652057,1.305881042580886,0.08206909124302963,0.14791154031102183,0.01673959528044744,1.9405940594059405,8
one_factor,breakout_lookback,15,168,0.4642857142857143,0.14278343870254462,1.3030904499404845,0.05861717833988889,0.1234134074673201,0.014112761568750853,1.6633663366336633,7
one_factor,breakout_lookback,20,151,0.4768211920529801,0.16887123672650603,1.3602036022336967,0.05258068601395416,0.1322520648189378,0.015070292556916831,1.495049504950495,6
one_factor,breakout_lookback,25,140,0.4928571428571429,0.1928254501375994,1.4264165678528178,0.053296720922151986,0.14103418692302472,0.016015209193129598,1.386138613861386,5
one_factor,breakout_lookback,30,133,0.48120300751879697,0.17533003720251883,1.384007069102839,0.06282324506395509,0.12046973689656659,0.013792389483507694,1.316831683168317,5
one_factor,breakout_lookback,40,129,0.4418604651162791,0.06750744267843437,1.133811610194143,0.09990447758790488,0.04176460585551034,0.004939483087457175,1.2772277227722773,12
one_factor,atr_mult,1.0,165,0.40606060606060607,0.03454101772124404,1.0611510031579916,0.08075125128320104,0.024961842060284622,0.002973544861008648,1.6336633663366336,7
one_factor,atr_mult,1.25,158,0.43037974683544306,0.06749053716852019,1.127991895171043,0.05715125596728465,0.05109857305788501,0.006019546632924033,1.5643564356435644,6
one_factor,atr_mult,1.5,151,0.4768211920529801,0.16887123672650603,1.3602036022336967,0.05258068601395416,0.1322520648189378,0.015070292556916831,1.495049504950495,6
one_factor,atr_mult,1.75,145,0.47586206896551725,0.14536192995327213,1.3264324009219672,0.04847221436487892,0.10799686856100799,0.01242664680058736,1.4356435643564356,6
one_factor,atr_mult,2.0,142,0.49295774647887325,0.16442694496501586,1.4022208881453093,0.041259155970953754,0.12093377823668106,0.013842942176317319,1.4059405940594059,6
one_factor,rr,1.5,166,0.5,0.13452106045087503,1.3043127039537799,0.05192544586556236,0.1153330473078602,0.013231564596331902,1.6435643564356435,6
one_factor,rr,2.0,159,0.4591194968553459,0.09239630007509692,1.1946767653703187,0.06450580021284191,0.07319561850341838,0.008543222662217298,1.5742574257425743,6
one_factor,rr,2.5,151,0.4768211920529801,0.16887123672650603,1.3602036022336967,0.05258068601395416,0.1322520648189378,0.015070292556916831,1.495049504950495,6
one_factor,rr,3.0,146,0.4726027397260274,0.19756491945498222,1.4195160332488483,0.05258068601395449,0.1509455316705366,0.017073972114856506,1.4455445544554455,6
one_factor,rr,3.5,144,0.4722222222222222,0.20619502252360458,1.4351655821673839,0.0525806860139546,0.1555976693272494,0.01756816602920863,1.4257425742574257,6
one_factor,d1_slope_lookback,3,153,0.46405228758169936,0.13675359065496007,1.289437915152623,0.05814099586046262,0.10671103330178866,0.01228508374220394,1.5148514851485149,7
