ema_slope_atr_quartile,trades,win_rate,expectancy_r,profit_factor,max_dd_pct,total_return_pct,cagr,trades_per_month,longest_loss_streak
"(0.00619, 0.428]",116,0.4224137931034483,0.024006670484587753,1.0488535077870649,0.042944250814502594,0.011882369010767668,0.0014207031386364033,1.1485148514851484,6
"(1.307, 4.754]",116,0.3706896551724138,-0.04026643565567087,0.9338474896878829,0.10085919161544854,-0.025701453048530887,-0.003146199698705776,1.16,7
"(0.428, 0.852]",116,0.3793103448275862,-0.07666468350163681,0.8584914369706231,0.07777367675724156,-0.045478480718500136,-0.005490247062774567,1.1262135922330097,9
"(0.852, 1.307]",116,0.3620689655172414,-0.09075790723627665,0.8439627793171942,0.1080611587075625,-0.05348867778108435,-0.006670535692477997,1.1717171717171717,10
