candidate,paths,final_p05,final_p50,final_p95,dd_p50,dd_p95,prob_dd_gt_5pct,prob_dd_gt_10pct
A_frozen_usdjpy_v10,5000,1.0401737689329091,1.244846870501102,1.4837612071318713,0.05933238766792803,0.10759437217149692,0.698,0.0754
B_l25_atr150_rr300,5000,0.9855514948404788,1.1638221910066093,1.3806443777475088,0.06596702566398632,0.12270756980755969,0.7952,0.1362
C_l25_atr175_rr250,5000,0.9637057567531855,1.1239389005067757,1.3159018749854188,0.06501596901966289,0.1240899481965188,0.7814,0.1408
