year,count,median,p95
2013,8682,0.7000000000005002,10.199999999998965
2014,7105,0.39999999999906777,7.9999999999998295
2015,6241,0.39999999999906777,1.5000000000000568
2016,6248,0.40000000000048885,1.6000000000005343
2017,6223,0.30000000000001137,1.099999999999568
2018,6226,0.30000000000001137,1.099999999999568
2019,6225,0.30000000000001137,1.2000000000000455
2020,6250,0.30000000000001137,1.5000000000000568
2021,6240,0.30000000000001137,1.5000000000000568
2022,6240,0.6999999999990791,3.499999999999801
2023,6225,0.6000000000000227,3.6000000000001364
2024,6249,0.6000000000000227,4.099999999999682
2025,6225,0.49999999999954525,3.900000000001569
2026,4152,0.40000000000190994,3.6000000000001364
