candidate,period,ambiguous_h1_stop_first_events,unclosed_at_data_end,trades,trades_per_month,wins,losses,win_rate,expectancy_r,profit_factor,avg_win_r,avg_loss_r,max_dd_pct,total_return_pct,cagr,longest_loss_streak
A_frozen_usdjpy_v10,overlap_2013_to_2022_03_03,0,0,148,1.4653465346534653,64,84,0.43243243243243246,0.1705490299006693,1.3634172099585944,1.4796339126640277,-0.8268489760142704,0.047588338615726755,0.1307596895552663,0.014904128866988886,5
A_frozen_usdjpy_v10,unseen_2022_03_04_to_2026_09_01,0,0,100,1.8867924528301887,45,55,0.45,0.20206428318224956,1.467648622441854,1.4092221886529903,-0.7856103667483564,0.052213672197801264,0.10396214293337724,0.02289300711124076,6
A_frozen_usdjpy_v10,full_independent,0,0,248,1.6209150326797386,109,139,0.43951612903225806,0.1832567933206613,1.4033917797512678,1.4505648522924988,-0.8105315406932253,0.052213672197801486,0.24831589002411203,0.017620178451621227,6
B_l25_atr150_rr300,overlap_2013_to_2022_03_03,0,0,141,1.396039603960396,56,85,0.3971631205673759,0.09869084199705866,1.1982181717955094,1.5021052891160562,-0.8259116172813399,0.06299576595019973,0.06853591818378857,0.008014872089255443,6
B_l25_atr150_rr300,unseen_2022_03_04_to_2026_09_01,0,0,90,1.6981132075471699,40,50,0.4444444444444444,0.19270854593472594,1.4336838060173789,1.4333876777210774,-0.7998347594943551,0.04405932842165816,0.08833463786923113,0.01956099251838106,6
B_l25_atr150_rr300,full_independent,0,0,231,1.5098039215686274,96,135,0.4155844155844156,0.13532111625848744,1.283673465917693,1.4734729510348152,-0.8162535218046788,0.06299576595019973,0.1629246515668188,0.011960138826734967,6
C_l25_atr175_rr250,overlap_2013_to_2022_03_03,0,0,141,1.396039603960396,59,82,0.41843971631205673,0.05503819497388387,1.114228767008049,1.2830103540794076,-0.8285027487727731,0.06865224326772934,0.03680091581513256,0.004361647093118481,5
C_l25_atr175_rr250,unseen_2022_03_04_to_2026_09_01,0,0,90,1.6981132075471699,42,48,0.4666666666666667,0.18464063747627862,1.4544770742832942,1.2662381954366042,-0.7617572257390063,0.0302162785764154,0.0847955173143553,0.018801281032640782,3
C_l25_atr175_rr250,full_independent,0,0,231,1.5098039215686274,101,130,0.43722943722943725,0.10553265309170001,1.233279197076571,1.2760357930596278,-0.8038582479603054,0.06865224326772934,0.12471698582367452,0.00930077255982198,5
