event,horizon,dispersion_regime,year,event_count,mean_forward_return,median_forward_return,standard_error,t_statistic,directional_probability,p25,p50,p75
asia_sweep_high,4,not_applicable,2013,15295,0.08956217621999404,0.0199052992664969,0.01777030363903611,5.0399913270616485,0.48728342595619484,-0.8046070561368055,0.0199052992664969,0.8603579981566565
asia_sweep_high,4,not_applicable,2014,14713,0.057329482133741894,0.0326117198342862,0.01492324636733165,3.8416227087988957,0.4826344049480052,-0.7457733725198646,0.0326117198342862,0.8292217248768219
asia_sweep_high,4,not_applicable,2015,14208,0.018049150061872448,-0.01207803328537225,0.014297583026612423,1.262391694335829,0.5022522522522522,-0.805731771303349,-0.01207803328537225,0.8188180882420028
asia_sweep_high,4,not_applicable,2016,14903,0.04938470588818518,0.0281059963115721,0.012827467678742278,3.849918559531877,0.487619942293498,-0.7696386403264421,0.0281059963115721,0.8319792083154971
asia_sweep_high,4,not_applicable,2017,14467,0.025704964337682545,0.030176917881926,0.013329579798103784,1.9284152034064297,0.4859335038363171,-0.7829300635632301,0.030176917881926,0.8379431880101671
m15_shock_down_1_5_2_0,16,not_applicable,2013,4430,0.22059253756221855,0.21571443635016174,0.06801991798387316,3.243057976260995,0.5347629796839729,-1.6383577996114433,0.21571443635016174,1.9575548751887724
m15_shock_down_1_5_2_0,16,not_applicable,2014,3915,-0.06419426876737439,0.0717989041134521,0.06582303581555185,-0.975255364204994,0.5090676883780332,-1.8325084811725079,0.0717989041134521,1.8821250460505052
m15_shock_down_1_5_2_0,16,not_applicable,2015,3676,-0.14343326045369356,-0.02675318088387865,0.10045329683261918,-1.4278601596589704,0.4956474428726877,-2.1056547952723115,-0.02675318088387865,1.8676731874229175
m15_shock_down_1_5_2_0,16,not_applicable,2016,3826,0.1105847308206262,0.13924673259181505,0.05815396086254994,1.9015855357126792,0.5230005227391532,-1.6446053931845315,0.13924673259181505,1.9330874071752253
m15_shock_down_1_5_2_0,16,not_applicable,2017,3820,0.08360575596514269,0.1445159336307983,0.05432811271457022,1.5389041103708452,0.5201570680628272,-1.7036456533475635,0.1445159336307983,1.8498303725143534
breaker_down,1,not_applicable,2013,21976,0.052131188037020285,0.09124004672868216,0.006962236519695821,7.4877071311127885,0.4343829632326174,-0.382951166962883,0.09124004672868216,0.5218464862544498
breaker_down,1,not_applicable,2014,21935,0.046328699874540226,0.0892655461216416,0.006760252100524982,6.853102397016003,0.43710964212445863,-0.3768296482797728,0.0892655461216416,0.5234881430657929
breaker_down,1,not_applicable,2015,22171,0.028444726664233946,0.0637120681535383,0.005946817997215097,4.783184331108611,0.45261828514726443,-0.38958550678331355,0.0637120681535383,0.4832855244592602
breaker_down,1,not_applicable,2016,22650,0.029557892527655366,0.07379290585796215,0.005825466610739646,5.073909868981717,0.45015452538631345,-0.3808334487666777,0.07379290585796215,0.4990633210541622
breaker_down,1,not_applicable,2017,22239,0.04964790703457852,0.0798360724211097,0.005904877758095698,8.407948321455141,0.44341022527991364,-0.36894636804042436,0.0798360724211097,0.5068516387934457
m15_shock_down_0_5_1_0,8,not_applicable,2013,49121,0.07357030568448523,0.0739501178083791,0.010230586945343356,7.191210638991945,0.5187190814519248,-0.9927573478307192,0.0739501178083791,1.147566165018188
m15_shock_down_0_5_1_0,8,not_applicable,2014,47888,0.04336050235979594,0.0961817641609441,0.010611559441030066,4.086157421136485,0.5233670230537922,-0.9799738733231079,0.0961817641609441,1.1278069809784057
m15_shock_down_0_5_1_0,8,not_applicable,2015,48534,0.03203041182816711,0.0568108864418198,0.012539873426813302,2.5542850982593093,0.5140107965549924,-1.0562741234646715,0.0568108864418198,1.0992350308832808
m15_shock_down_0_5_1_0,8,not_applicable,2016,48726,0.019094624861344188,0.07628978400184605,0.009819476220273193,1.9445665362396434,0.5183680170750729,-1.0203284585586292,0.07628978400184605,1.1257230549129904
m15_shock_down_0_5_1_0,8,not_applicable,2017,48063,0.05969436320058192,0.0938653761781299,0.009819286987541993,6.079297129854525,0.5221064020140233,-0.9935176351316148,0.0938653761781299,1.1461541610586448
ny_open_range_break_up,2,not_applicable,2013,149714,0.010516166796533112,0.0,0.0035979196729003173,2.9228464647894516,0.44470123034585946,-0.5096196785108715,0.0,0.47746843530485705
ny_open_range_break_up,2,not_applicable,2014,122423,-0.01694494044370812,-0.017626728554596,0.003309531827501526,-5.120041542703764,0.46388342059907045,-0.5410352929879243,-0.017626728554596,0.4842228796718273
ny_open_range_break_up,2,not_applicable,2015,110186,-0.0039473160810536085,-0.02604737244529265,0.00505696517449229,-0.7805701532144548,0.4828562612310094,-0.5424896843341404,-0.02604737244529265,0.5095729886121692
ny_open_range_break_up,2,not_applicable,2016,115751,-0.012105087454085619,-0.0300916803440336,0.0030832922647557838,-3.9260266022963015,0.48064379573394617,-0.5559923973448253,-0.0300916803440336,0.5087051427135802
ny_open_range_break_up,2,not_applicable,2017,121941,-0.003677617117308192,-0.0219086641442848,0.0029508018658583107,-1.2463110993182425,0.4845950090617594,-0.5413046891247341,-0.0219086641442848,0.5120408345827614
