event,horizon,dispersion_regime,pair,event_count,mean_forward_return,median_forward_return,standard_error,t_statistic,directional_probability,p25,p50,p75
asia_sweep_high,4,not_applicable,AUDJPY,4776,0.09733845818334376,0.08105984642434885,0.02632540658476252,3.697510155063835,0.4692211055276382,-0.6772195892848684,0.08105984642434885,0.7916454222439339
asia_sweep_high,4,not_applicable,AUDUSD,4311,0.05906959488873037,-0.0134279699973202,0.027480271263642702,2.149527358082574,0.5015077708188356,-0.7760928681229098,-0.0134279699973202,0.8480889366625448
asia_sweep_high,4,not_applicable,CADJPY,5046,-0.011348414267736083,-0.0359498905154405,0.022712712510278676,-0.4996503285373924,0.5124851367419738,-0.8045932872908084,-0.0359498905154405,0.7710892974087107
asia_sweep_high,4,not_applicable,CHFJPY,5054,0.04284490633367074,0.0344013147828561,0.023356723948196444,1.8343713968062345,0.4851602690937871,-0.7542746363942772,0.0344013147828561,0.7871583763804239
asia_sweep_high,4,not_applicable,EURAUD,8528,0.04696230120013938,0.0,0.016475620141446694,2.8504117475978483,0.49906191369606,-0.7469003784715516,0.0,0.7668075244974997
asia_sweep_high,4,not_applicable,EURGBP,4770,0.024860252268895412,0.0,0.028916317981338303,0.8597309064362707,0.4918238993710692,-0.8442932258939865,0.0,0.8580883632067755
asia_sweep_high,4,not_applicable,EURJPY,4520,0.06338312230959456,0.04331589783568985,0.0270160709960025,2.3461265821730035,0.48451327433628316,-0.7525877111880127,0.04331589783568985,0.8121961609752615
asia_sweep_high,4,not_applicable,EURUSD,4544,0.04032837893949865,0.034139514757477146,0.028555374044089026,1.412286838800721,0.4826144366197183,-0.8544067277875527,0.034139514757477146,0.8590342228779653
asia_sweep_high,4,not_applicable,GBPAUD,4290,0.1066891988623463,0.0653766867024662,0.023980608657662144,4.448977938191639,0.4755244755244755,-0.6965991572771114,0.0653766867024662,0.835509011254701
asia_sweep_high,4,not_applicable,GBPJPY,4533,0.003359835593724,0.0339359057448998,0.025167400091698575,0.1334995105367374,0.485991617030664,-0.7835884491801327,0.0339359057448998,0.8448612955934051
