hypothesis,family,pairs,preliminary_promoted,development_trades,development_expectancy_r,development_profit_factor,development_win_rate,development_max_dd_pct,development_return_pct,development_trades_per_day,development_trades_per_month,development_longest_loss_streak,development_ambiguous_stop_first,validation_trades,validation_expectancy_r,validation_profit_factor,validation_win_rate,validation_max_dd_pct,validation_return_pct,validation_trades_per_day,validation_trades_per_month,validation_longest_loss_streak,validation_ambiguous_stop_first
S2-16,london_fix_momentum,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,15625,-0.13853828769224613,0.7473647266432087,0.392896,0.9999836139600932,-0.9999836958902928,8.575740944017562,260.4166666666667,30,58,9395,-0.09651170357663984,0.8196302469433276,0.41053751995742416,0.9917321601146419,-0.9905079889803357,8.587751371115173,260.97222222222223,30,36
S2-05,ny_or_break,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,37354,-0.12004517517488654,0.7714892144413372,0.39457621673716337,0.9999999998884819,-0.9999999998848644,20.501646542261252,622.5666666666667,38,285,22841,-0.12294295882603162,0.7698313968037358,0.39394072063394775,0.9999994117367669,-0.9999994018573075,20.878427787934186,634.4722222222222,42,145
S2-15,three_bar_momentum,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,31173,-0.12867320771315574,0.7823889085964892,0.3906585827478908,0.999999998807238,-0.9999999987589592,17.109220636663007,519.55,29,353,19050,-0.12840055893893249,0.7833193070901717,0.3904461942257218,0.9999963913509425,-0.9999963002854094,17.413162705667276,529.1666666666666,35,173
S2-14,impulse_retrace,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,3879,-0.16390765854931152,0.72526625030199,0.38102603763856663,0.9607767229154094,-0.9605683918897414,2.1301482701812193,64.65,23,36,2430,-0.1377420996589381,0.7668569615521379,0.3893004115226337,0.8389436282525919,-0.8188231793212695,2.2212065813528334,67.5,14,15
S2-19,ema_reclaim_microbreak,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,8975,-0.11765747096872063,0.8055943239273935,0.39264623955431754,0.9956411351061566,-0.995554731309413,4.925905598243689,149.58333333333334,36,75,5502,-0.13858417928055877,0.7748387833023246,0.3836786623046165,0.9805795437140657,-0.979670037112455,5.029250457038391,152.83333333333334,19,57
S2-17,ny_open_london_position,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,12069,-0.12369441366649886,0.7959740220683228,0.3904217416521667,0.9995555446395126,-0.9995222301438679,6.62403951701427,201.15,36,205,7255,-0.14193707689183674,0.769901122294924,0.3818056512749828,0.994889938816008,-0.9947964505133177,6.631627056672761,201.52777777777777,25,88
S2-03,london_bias_pullback,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,4312,-0.1466850049457879,0.7324472294634171,0.38705936920222633,0.9599661163313515,-0.9599306547957952,2.366630076838639,71.86666666666666,19,48,2538,-0.1441979484258995,0.7384481160546463,0.3817966903073286,0.8480920579162113,-0.8447313907808587,2.319926873857404,70.5,14,21
S2-06,london_failed_break,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,23001,-0.16283674945623478,0.7283392468743278,0.3988087474457632,0.9999999946223159,-0.9999999946019545,12.62403951701427,383.35,21,256,14765,-0.1621151446513706,0.7296804312090609,0.39925499492041994,0.9999948332729987,-0.9999948039014053,13.496343692870202,410.1388888888889,23,152
S2-11,trend_compression_break,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,1047,-0.2242120343839567,0.6577988338192379,0.3447946513849093,0.7031510534682308,-0.6955886085231018,0.5752747252747252,17.45,20,27,994,-0.16473843058350376,0.7379999999999961,0.37122736418511065,0.564407778754511,-0.5655896921599907,0.9085923217550275,27.61111111111111,28,14
S2-01,trend_pullback,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,22376,-0.13634629546217533,0.7777060833096299,0.38434036467643906,0.9999998341022863,-0.9999998307899973,12.281009879253567,372.93333333333334,27,215,13960,-0.17393226295681147,0.724488905979541,0.36783667621776506,0.9999958934710174,-0.999995670837899,12.760511882998172,387.77777777777777,29,135
S2-12,session_sweep_reclaim,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,30200,-0.16126736469798977,0.7307678681053617,0.3995695364238411,0.9999999999824112,-0.9999999999823279,16.575192096597146,503.3333333333333,22,367,19302,-0.1750675540207436,0.7111112717745374,0.3930162677442752,0.999999964428869,-0.9999999645900013,17.643510054844608,536.1666666666666,35,218
S2-04,london_or_break,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,1228,-0.21213355048859825,0.6735588972431087,0.3501628664495114,0.7317563153675818,-0.7330975337907438,0.6743547501372872,20.466666666666665,16,28,1185,-0.18350150240825905,0.7116057289737573,0.36371308016877635,0.6674990830220462,-0.6688049178205355,1.083180987202925,32.916666666666664,20,11
S2-13,equal_level_sweep,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,22767,-0.17652359654556313,0.7085867413246281,0.39245399042473755,0.9999999986355218,-0.9999999986198195,12.495609220636663,379.45,24,228,14726,-0.18634867464463284,0.6952710752693815,0.3873421159853321,0.9999991094115597,-0.9999990987370563,13.460694698354661,409.05555555555554,24,138
S2-02,first_pullback,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,4818,-0.12351401087308762,0.7964363202192456,0.3904109589041096,0.9548979641293783,-0.9525551367881884,2.6457990115321253,80.3,17,41,2897,-0.19232800739113173,0.6988637378237165,0.35968243010010353,0.9426701555211661,-0.9409363565603498,2.6480804387568555,80.47222222222223,20,17
S2-10,compression_break,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,2446,-0.22396880050415913,0.6580351522889057,0.34505314799672937,0.937376363345305,-0.9376894815285785,1.343218012081274,40.766666666666666,19,63,2150,-0.20046511627907052,0.6890331890331882,0.3553488372093023,0.8872103180439533,-0.8877742664537336,1.9652650822669104,59.72222222222222,20,37
S2-18,asia_compression_london_break,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,2405,-0.20197505197505225,0.6870167525773183,0.3546777546777547,0.9151457719086682,-0.9149746620044853,1.3207029104887424,40.083333333333336,20,62,2227,-0.20687168149937185,0.6802892195009705,0.35294117647058826,0.9028817524374482,-0.903367343675261,2.0356489945155394,61.861111111111114,21,31
S2-07,rolling_mean_reversion,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,1448,-0.19835404643083784,0.6666990049342545,0.39917127071823205,0.7698377689716016,-0.7663680445685694,0.7956043956043956,24.133333333333333,21,17,717,-0.21741022978716384,0.6403066030091601,0.39191073919107394,0.5609314899255538,-0.5453771156769115,0.6608294930875576,19.916666666666668,11,10
S2-20,weekly_failed_break,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,6229,-0.21164985442480522,0.6448680425061307,0.374538449189276,0.9987653075159093,-0.9987333538564033,3.4319559228650136,103.81666666666666,18,83,3789,-0.24349652236612152,0.6040211766102845,0.3594615993665875,0.9906246145918245,-0.9905451988099828,3.463436928702011,105.25,21,23
S2-09,shock_reversion,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,33054,-0.2782740785753126,0.5644833212185808,0.3638893931142978,1.0,-1.0,18.141602634467617,550.9,66,1915,17356,-0.25081290885193597,0.5973512468412275,0.3750288084812169,0.9999999997164485,-0.9999999997165193,15.864716636197441,482.1111111111111,37,638
S2-08,asia_reclaim,EURUSD|GBPUSD|USDJPY|AUDUSD|NZDUSD|USDCAD|USDCHF|EURJPY|GBPJPY|AUDJPY|CADJPY|CHFJPY|EURGBP|EURAUD|GBPAUD,False,46394,-0.2125755332333234,0.6470241248205417,0.3939518041126008,1.0,-1.0,25.463227222832053,773.2333333333333,33,773,27804,-0.25151932566879626,0.5952211988131112,0.37447849230326574,0.9999999999999996,-0.9999999999999996,25.414990859232176,772.3333333333334,50,437
